bidPrice,bidSize,askPrice,askSize,lastSalePrice,lastSaleSize,volume,time
55.56,100,55.6,200,55.55,100,263547,10:23:29
54.06,100,55.59,100,55.55,100,263847,10:24:32
55.56,100,55.59,100,55.55,100,264504,10:25:34
54.06,100,55.64,100,55.64,100,265157,10:26:40
55.64,100,56.32,100,55.65,100,268622,10:27:42
54.06,100,55.68,100,55.66,100,269021,10:28:45
55.72,100,56.32,100,55.685,9,270131,10:29:47
55.76,200,56.32,100,55.765,98,270646,10:30:50
55.82,100,56.32,100,55.815,100,272149,10:31:55
55.83,100,55.85,100,55.85,100,272687,10:32:56
55.78,200,56.32,100,55.83,100,272987,10:34:2
54.06,100,56.32,100,55.77,100,273476,10:35:4
55.79,100,55.88,500,55.87,4,273866,10:36:7
55.8,100,56.32,100,55.805,1,274312,10:37:10
54.06,100,55.75,200,55.78,100,274521,10:38:12
54.06,100,56.32,100,55.765,6,274727,10:39:15
55.73,100,55.75,100,55.725,100,275028,10:40:18
55.75,200,56.32,100,55.74,3,275381,10:41:23
54.06,100,56.32,100,55.725,103,275484,10:42:26
54.06,100,56.32,100,55.76,100,275684,10:43:29
54.06,100,56.32,100,55.795,15,275699,10:44:31
54.06,100,56.32,100,55.72,1,275815,10:45:34
54.06,100,55.77,143,55.74,100,276123,10:46:37
54.06,100,55.83,153,55.825,100,276523,10:47:42
54.06,100,56.32,100,55.84,100,277023,10:48:45
54.06,100,56.32,100,55.8,100,277123,10:49:51
54.06,100,55.77,200,55.81,5,277128,10:50:54
54.06,100,56.32,100,55.73,1,277340,10:52:1
54.06,100,55.72,100,55.69,100,277641,10:53:6
55.73,100,56.32,100,55.73,92,278041,10:54:9
55.75,100,56.32,100,55.745,162,279677,10:55:12
54.06,100,55.7,100,55.71,100,280184,10:56:13
54.06,100,55.7,100,55.7,1,280767,10:57:15
54.06,100,55.7,100,55.695,102,281610,10:58:18
54.06,100,55.74,100,55.68,9,282352,10:59:21
54.06,100,55.74,100,55.64,5,282895,11:0:26
54.06,100,55.64,100,55.645,400,284635,11:1:29
54.06,100,55.74,100,55.615,100,285148,11:2:30
54.06,100,55.74,100,55.615,100,285148,11:3:32
54.06,100,55.65,100,55.65,100,287451,11:4:34
54.06,100,55.74,100,55.63,51,287602,11:5:37
54.06,100,55.74,100,55.63,51,287602,11:6:43
54.06,100,55.62,100,55.6,100,287927,11:7:46
54.06,100,55.74,100,55.58,1,287931,11:8:52
54.06,100,55.74,100,55.555,105,288037,11:9:55
54.06,100,55.55,100,55.55,100,288138,11:10:57
54.06,100,55.53,100,55.53,100,288442,11:11:59
55.55,100,55.74,100,55.56,100,288642,11:13:5
54.06,100,55.6,100,55.585,1,288943,11:14:8
54.06,100,55.74,100,55.555,2,289150,11:15:11
55.61,100,55.74,100,55.605,2,289753,11:16:28
54.06,100,55.74,100,55.64,11,290065,11:17:28
54.06,100,55.74,100,55.63,3,291168,11:18:31
54.06,100,55.65,200,55.64,5,291390,11:19:33
54.06,100,55.74,100,55.68,100,292595,11:20:39
54.06,100,56.32,100,55.74,5,292758,11:21:45
55.76,100,55.77,100,55.745,600,293458,11:22:47
54.06,100,56.32,100,55.79,1,294140,11:24:4
54.06,100,55.8,100,55.795,4,295227,11:25:7
54.06,100,56.32,100,55.74,3,295348,11:26:10
55.73,100,56.32,100,55.76,1,295349,11:27:12
55.72,100,56.32,100,55.745,100,296055,11:28:18
54.06,100,56.32,100,55.71,3,296058,11:29:35
55.74,100,56.32,100,55.71,3,296058,11:30:39
54.06,100,56.32,100,55.71,3,296058,11:31:45
55.79,100,56.32,100,55.78,100,296438,11:32:50
54.06,100,56.32,100,55.78,1,296543,11:33:53
54.06,100,56.32,100,55.75,100,296743,11:34:59
54.06,100,56.32,100,55.75,100,296743,11:36:6
54.06,100,55.82,100,55.81,3,296757,11:37:12
55.86,100,56.32,100,55.85,2,297060,11:38:13
54.06,100,56.32,100,55.93,100,297268,11:39:15
54.06,100,56.32,100,55.93,3,298400,11:40:18
54.06,100,56.32,100,55.88,100,299007,11:41:21
54.06,100,55.89,100,55.885,100,299207,11:42:21
54.06,100,56.32,100,55.86,12,299423,11:43:24
54.06,100,56.32,100,55.89,100,299523,11:44:25
55.83,200,56.32,100,55.82,1,299635,11:45:28
55.87,100,56.32,100,55.845,74,299709,11:46:32
54.06,100,55.89,100,55.86,100,299819,11:47:35
55.86,100,56.32,100,55.88,100,299919,11:48:37
54.06,100,56.32,100,55.85,100,300122,11:49:40
