bidPrice,bidSize,askPrice,askSize,lastSalePrice,lastSaleSize,volume,time
60.57,100,61.16,100,60.55,100,127005,9:44:1
50.11,200,60.52,100,60.5,100,127205,9:45:2
50.11,200,60.5,100,60.48,1,129135,9:46:5
60.48,100,61.16,100,60.515,3,129547,9:47:6
60.41,100,60.42,100,60.44,100,129847,9:48:10
50.11,200,61.16,100,60.4,100,130147,9:49:11
50.11,200,61.16,100,60.34,100,130447,9:50:12
50.11,200,61.16,100,60.395,101,130560,9:51:15
50.11,200,61.16,100,60.375,200,131460,9:52:31
50.11,200,61.16,100,60.305,184,131644,9:53:32
60.3,100,61.16,100,60.35,200,132044,9:54:34
60.3,100,61.16,100,60.405,9,132356,9:55:36
60.3,100,60.44,100,60.42,100,132456,9:56:37
50.11,200,60.56,200,60.38,100,132746,9:57:40
50.11,200,60.56,200,60.39,100,133165,9:58:40
50.11,200,60.45,100,60.405,100,133365,9:59:41
50.11,200,60.56,200,60.435,100,133565,10:0:43
60.45,100,60.48,100,60.465,100,134003,10:1:46
50.11,200,60.56,200,60.465,100,134003,10:2:52
50.11,200,60.56,200,60.51,100,134112,10:3:55
60.51,100,60.56,200,60.505,100,134351,10:5:5
60.55,100,60.56,200,60.555,100,135051,10:6:8
50.11,200,60.59,200,60.545,1100,136251,10:7:10
50.11,200,60.52,100,60.545,1100,136251,10:8:13
50.11,200,60.59,200,60.515,100,137279,10:9:16
60.48,100,60.59,200,60.485,4,137783,10:10:22
60.46,100,60.49,100,60.46,88,140673,10:11:27
50.11,200,60.59,200,60.485,100,141773,10:12:30
50.11,200,60.46,100,60.47,5,141883,10:13:32
60.41,100,60.47,100,60.42,100,142083,10:14:33
50.11,200,60.35,100,60.34,100,142183,10:15:34
50.11,200,60.47,100,60.41,2,143420,10:16:37
50.11,200,60.47,100,60.41,2,143752,10:17:39
50.11,200,60.38,100,60.385,100,143963,10:18:40
50.11,200,60.47,100,60.395,100,144363,10:19:43
50.11,200,60.47,100,60.35,11,144567,10:20:45
50.11,200,60.47,100,60.265,104,144732,10:21:51
50.11,200,60.25,100,60.23,100,145041,10:22:52
50.11,200,60.47,100,60.265,128,145419,10:23:55
50.11,200,60.47,100,60.265,128,145419,10:24:56
50.11,200,60.47,100,60.29,200,145719,10:25:59
50.11,200,60.47,100,60.255,97,145950,10:27:1
50.11,200,60.26,100,60.275,10,146163,10:28:7
60.25,100,60.47,100,60.255,101,146464,10:29:9
60.19,100,60.47,100,60.205,5,146782,10:30:12
60.2,100,60.47,100,60.195,100,147082,10:31:15
60.2,100,60.59,200,60.2,10,147302,10:32:15
50.11,200,60.22,100,60.22,100,148034,10:33:19
50.11,200,60.59,200,60.22,100,148363,10:34:22
50.11,200,60.59,200,60.23,83,148749,10:35:25
60.18,100,60.59,200,60.23,83,148749,10:36:28
60.11,100,60.12,100,60.18,100,148849,10:37:29
50.11,200,60.59,200,60.155,100,149149,10:38:32
50.11,200,60.59,200,60.1,3,149155,10:39:34
50.11,200,60.59,200,60.1,100,149358,10:40:36
50.11,200,60.59,200,60.1,100,149358,10:41:40
50.11,200,60.03,100,60.015,100,149458,10:42:50
50.11,200,60,100,60.01,90,149558,10:43:52
50.11,200,60.01,100,60.01,90,149558,10:44:54
50.11,200,60.59,200,60.01,100,149658,10:45:55
50.11,200,60.59,200,60.01,100,149658,10:46:58
50.11,200,59.98,100,59.975,100,149859,10:48:0
59.91,100,60.59,200,59.925,150,150109,10:49:1
50.11,200,60.59,200,59.93,100,150209,10:50:8
50.11,200,59.9,100,59.89,13,150222,10:51:11
50.11,200,60.59,200,59.9,100,150351,10:52:14
50.11,200,59.92,100,59.93,3,150354,10:53:17
50.11,200,60.59,200,59.92,100,150479,10:54:23
50.11,200,60.59,200,59.895,100,150588,10:55:28
59.85,100,60.59,200,59.9,100,150788,10:56:31
50.11,200,60.59,200,59.875,91,151088,10:57:34
50.11,200,59.75,100,59.875,91,151088,10:58:36
50.11,200,60.59,200,59.7,7,151195,10:59:38
50.11,200,60.59,200,59.71,100,151495,11:0:41
50.11,200,60.59,200,59.71,2,151497,11:1:43
59.81,100,60.59,200,59.83,100,152326,11:2:49
50.11,200,60.59,200,59.79,1,152335,11:3:50
50.11,200,59.77,100,59.765,100,152535,11:4:52
50.11,200,60.59,200,59.72,100,152639,11:5:54
50.11,200,60.59,200,59.715,1200,153839,11:6:56
50.11,200,60.59,200,59.705,100,153939,11:7:58
50.11,200,60.59,200,59.615,100,154041,11:9:0
50.11,200,60.59,200,59.655,8,154059,11:10:18
59.71,100,60.59,200,59.72,100,154848,11:11:21
50.11,200,60.59,200,59.745,268,155156,11:12:24
50.11,200,60.59,200,59.72,100,155760,11:13:27
50.11,200,60.59,200,59.665,200,157042,11:14:44
50.11,200,60.59,200,59.585,100,158131,11:15:46
50.11,200,59.67,100,59.66,100,159668,11:16:48
50.11,200,60.59,200,59.62,100,160068,11:17:49
50.11,200,59.63,100,59.64,100,160168,11:18:52
50.11,200,59.62,100,59.62,2,160270,11:19:55
59.62,100,60.59,200,59.62,2,160270,11:20:57
50.11,200,59.67,100,59.635,100,160370,11:22:3
59.72,100,60.59,200,59.725,2,160477,11:23:6
50.11,200,59.76,100,59.76,100,160677,11:24:7
59.73,100,59.75,100,59.74,100,160777,11:25:13
59.72,200,60.59,200,59.745,100,160903,11:26:18
50.11,200,60.59,200,59.69,100,161003,11:27:21
59.73,100,60.59,200,59.725,4,161417,11:28:24
50.11,200,60.59,200,59.725,100,161517,11:29:27
50.11,200,59.72,200,59.735,100,161617,11:30:29
59.71,100,60.59,200,59.735,100,161617,11:31:30
50.11,200,59.72,100,59.7,3,161620,11:32:32
50.11,200,60.59,200,59.7,3,161620,11:33:34
59.75,100,60.59,200,59.73,100,161722,11:34:37
59.77,100,60.59,200,59.78,100,162030,11:35:40
50.11,200,59.82,100,59.75,100,162433,11:36:53
50.11,200,59.81,100,59.805,250,164884,11:37:54
