bidPrice,bidSize,askPrice,askSize,lastSalePrice,lastSaleSize,volume,time
56.99,100,57.21,200,57.005,100,188907,8:27:9
57.01,100,57.23,200,57.005,100,189507,8:28:10
52.14,100,57.23,200,57.055,100,191230,8:29:12
57.01,200,57.23,200,57.055,100,193055,8:30:16
52.14,100,57.25,200,57.1,100,193555,8:31:18
57.1,200,57.29,200,57.14,100,193655,8:32:21
52.14,100,57.29,200,57.08,100,194079,8:33:24
57.07,100,57.29,200,57.085,100,194584,8:34:26
52.14,100,57.29,200,57.14,100,197069,8:35:29
57.13,200,57.29,200,57.11,100,197769,8:36:33
57.23,100,65,100,57.23,21,197902,8:37:39
52.14,100,65,100,57.24,9,198217,8:38:41
52.14,100,57.28,100,57.245,100,198499,8:39:58
52.14,100,57.23,100,57.225,200,200508,8:41:1
52.14,100,57.28,100,57.235,600,201715,8:42:10
52.14,100,57.41,200,57.315,100,203035,8:43:15
52.14,100,65,100,57.36,100,203535,8:44:21
52.14,100,57.37,100,57.395,100,204254,8:45:24
52.14,100,65,100,57.315,100,204459,8:46:26
52.14,100,65,100,57.25,10,204869,8:47:28
57.21,100,65,100,57.21,100,205369,8:48:31
57.29,100,65,100,57.28,100,205880,8:49:31
57.29,100,65,100,57.315,100,206080,8:50:34
52.14,100,65,100,57.35,91,206629,8:51:37
52.14,100,65,100,57.37,100,207029,8:52:39
52.14,100,65,100,57.355,100,207229,8:53:42
52.14,100,65,100,57.4,20,207559,8:54:45
52.14,100,65,100,57.425,100,210340,8:56:2
57.43,100,65,100,57.42,3,211496,8:57:3
52.14,100,57.44,100,57.435,100,212149,8:58:6
52.14,100,65,100,57.435,200,213070,8:59:8
52.14,100,65,100,57.365,300,214070,9:0:10
52.14,100,65,100,57.275,100,214570,9:1:14
52.14,100,65,100,57.22,1,215462,9:2:16
52.14,100,65,100,57.205,200,215762,9:3:17
57.23,100,65,100,57.23,91,216464,9:4:19
52.14,100,65,100,57.315,20,217084,9:5:21
52.14,100,57.37,100,57.325,100,217844,9:6:23
57.38,100,65,100,57.35,1,218145,9:7:25
52.14,100,65,100,57.395,100,218459,9:8:31
52.14,100,65,100,57.33,100,218706,9:9:32
52.14,100,65,100,57.32,100,218915,9:10:34
52.14,100,57.29,100,57.275,100,219320,9:11:35
57.32,100,65,100,57.315,100,219825,9:12:38
52.14,100,57.36,100,57.35,100,220231,9:13:43
52.14,100,57.39,100,57.37,2,220434,9:14:46
57.41,100,65,100,57.39,11,220759,9:15:48
57.43,100,65,100,57.43,100,222094,9:16:49
57.43,100,65,100,57.43,3,222119,9:17:51
52.14,100,57.43,100,57.395,100,222972,9:18:54
52.14,100,65,100,57.46,100,224193,9:19:55
52.14,100,57.49,100,57.47,5,224430,9:20:58
52.14,100,57.49,100,57.485,100,224870,9:22:1
52.14,100,57.51,100,57.5,100,225270,9:23:4
57.51,100,65,100,57.5,100,225570,9:24:5
57.54,100,65,100,57.54,20,226070,9:25:6
52.14,100,57.57,100,57.56,1,226560,9:26:9
52.14,100,57.61,100,57.605,80,227262,9:27:15
57.55,100,65,100,57.55,12,228382,9:28:17
57.59,100,65,100,57.58,98,228580,9:29:20
52.14,100,65,100,57.585,13,228693,9:30:21
57.6,100,65,100,57.6,2,228796,9:31:23
52.14,100,65,100,57.605,200,232693,9:32:24
52.14,100,57.56,100,57.56,100,232793,9:33:25
57.48,100,57.49,100,57.485,81,233093,9:34:28
57.51,100,65,100,57.515,5,233198,9:35:31
57.55,100,65,100,57.525,200,233498,9:36:32
57.51,100,65,100,57.505,13,234027,9:37:34
57.52,100,65,100,57.525,127,234159,9:38:35
57.52,100,57.54,200,57.53,10,234174,9:39:36
52.14,100,57.48,100,57.48,100,234274,9:40:38
57.55,100,65,100,57.53,100,234585,9:41:39
52.14,100,57.59,100,57.57,7,234692,9:42:42
52.14,100,57.53,100,57.57,100,234792,9:43:44
52.14,100,65,100,57.54,100,234995,9:44:45
52.14,100,57.54,100,57.575,6,235301,9:45:48
57.51,200,65,100,57.51,100,235512,9:46:49
52.14,100,65,100,57.51,100,235712,9:47:51
57.54,100,65,100,57.545,100,236036,9:48:55
52.14,100,57.51,100,57.51,10,236559,9:49:56
