bidPrice,bidSize,askPrice,askSize,lastSalePrice,lastSaleSize,volume,time
59.36,100,60.38,300,59.32,20,86225,8:32:24
59.34,100,60.38,300,59.33,100,86730,8:33:27
0,0,59.34,200,59.36,100,87030,8:34:28
59.36,100,60.38,300,59.36,100,87459,8:35:29
59.41,100,60.38,300,59.42,100,88559,8:36:31
59.44,200,60.38,300,59.435,10,89069,8:37:31
59.42,100,60.38,300,59.425,100,90288,8:38:32
0,0,59.46,100,59.445,100,91790,8:39:33
0,0,60.38,300,59.48,100,92290,8:40:36
0,0,60.38,300,59.46,100,95200,8:41:36
0,0,59.48,100,59.46,100,95401,8:42:37
59.42,100,60.38,300,59.43,100,96103,8:43:37
59.41,100,59.43,100,59.41,100,96203,8:44:38
0,0,60.38,300,59.375,100,96403,8:45:40
0,0,59.35,100,59.33,100,97353,8:46:41
0,0,60.38,300,59.4,100,97653,8:47:42
59.4,100,60.38,300,59.405,100,98991,8:48:43
59.38,100,60.38,300,59.39,100,101189,8:49:44
59.43,200,60.38,300,59.42,100,106240,8:50:44
0,0,60.38,300,59.395,100,111987,8:51:46
59.38,100,60.38,300,59.39,100,114450,8:52:46
0,0,60.38,300,59.38,100,116390,8:53:46
59.38,100,59.43,300,59.395,100,118959,8:54:47
59.38,100,60.38,300,59.39,100,119660,8:55:48
59.39,100,60.38,300,59.395,300,123355,8:56:48
0,0,59.39,100,59.39,100,130433,8:57:49
0,0,60.38,300,59.405,100,133541,8:58:50
59.4,100,59.41,100,59.405,100,134861,8:59:50
0,0,60.38,300,59.365,100,136361,9:0:53
59.32,100,60.38,300,59.33,100,137261,9:1:56
0,0,59.25,200,59.25,100,137861,9:2:59
59.32,100,60.38,300,59.32,200,145853,9:3:59
0,0,59.35,100,59.32,100,147051,9:4:59
59.32,200,60.38,300,59.34,50,148828,9:6:0
0,0,59.35,200,59.36,100,149417,9:7:0
0,0,59.36,100,59.355,100,149636,9:8:3
59.28,100,59.3,100,59.305,7,149791,9:9:3
59.29,100,60.38,300,59.26,37,150215,9:10:4
0,0,59.32,100,59.315,100,150315,9:11:6
0,0,60.38,300,59.275,100,150915,9:12:8
0,0,59.27,100,59.27,100,151115,9:13:9
0,0,60.38,300,59.21,100,151315,9:14:10
59.11,100,60.38,300,59.11,200,152015,9:15:13
0,0,59.16,100,59.175,2,152436,9:16:13
59.15,100,60.38,300,59.16,100,152936,9:17:16
59.25,100,60.38,300,59.27,100,153343,9:18:19
59.25,100,60.38,300,59.26,100,154800,9:19:20
59.16,200,60.38,300,59.215,100,155100,9:20:20
59.16,100,60.38,300,59.135,100,155310,9:21:21
59.23,100,60.38,300,59.235,107,156517,9:22:23
59.27,200,60.38,300,59.29,100,157117,9:23:24
0,0,60.38,300,59.235,1200,164817,9:24:24
0,0,59.23,200,59.235,100,167211,9:25:27
0,0,60.38,300,59.255,100,168046,9:26:29
59.23,100,59.26,100,59.255,100,168846,9:27:30
59.24,100,60.38,300,59.24,2,169664,9:28:36
0,0,60.38,300,59.205,100,170164,9:29:36
0,0,60.38,300,59.2,100,171164,9:30:38
0,0,60.38,300,59.17,100,171378,9:31:40
59.17,100,60.38,300,59.165,100,171478,9:32:40
0,0,60.38,300,59.195,6,171684,9:33:42
59.15,100,60.38,300,59.16,100,172084,9:34:44
59.14,100,60.38,300,59.17,100,173715,9:35:49
0,0,59.17,100,59.185,100,174020,9:36:51
59.14,100,60.38,300,59.14,9,174602,9:37:54
0,0,59.16,100,59.155,2,174777,9:38:56
0,0,59.1,200,59.1,8,175050,9:39:57
0,0,59.06,200,59.065,100,176983,9:40:59
59.07,100,60.38,300,59.05,200,177483,9:42:0
59.08,100,60.38,300,59.085,100,177983,9:43:0
0,0,60.38,300,59.05,100,178483,9:44:3
59.06,100,60.38,300,59.055,100,178683,9:45:6
59.05,100,60.38,300,59.055,100,179953,9:46:11
0,0,60.38,300,59.055,100,180657,9:47:12
59.02,200,60.38,300,59.025,11,180768,9:48:12
0,0,59,100,58.99,100,182279,9:49:14
0,0,60.38,300,58.935,100,182694,9:50:15
