bidPrice,bidSize,askPrice,askSize,lastSalePrice,lastSaleSize,volume,time
55.05,100,56.34,100,56.325,100,42062,8:14:52
55.05,100,56.32,100,56.305,300,44156,8:15:53
55.05,100,56.36,100,56.3,95,44851,8:16:55
56.31,100,56.65,200,56.31,100,45251,8:17:57
55.05,100,56.33,100,56.325,100,46261,8:18:59
56.32,100,56.65,200,56.325,100,46867,8:20:0
55.05,100,56.33,100,56.325,100,47767,8:21:1
56.39,100,56.65,200,56.35,100,49422,8:22:2
55.05,100,56.36,100,56.355,100,50432,8:23:6
55.05,100,56.35,100,56.305,100,51381,8:24:7
56.31,100,56.32,100,56.31,100,53348,8:25:10
55.05,100,56.65,200,56.305,200,54801,8:26:13
56.36,200,56.65,200,56.32,41,56201,8:27:16
55.05,100,56.31,100,56.305,300,57844,8:28:21
56.32,100,56.65,200,56.32,20,63052,8:29:27
56.38,100,56.65,200,56.385,100,63552,8:30:29
55.05,100,56.65,200,56.405,100,64252,8:31:35
55.05,100,56.45,100,56.45,100,64959,8:32:37
55.05,100,0,0,56.41,100,65159,8:33:40
56.48,100,0,0,56.48,100,66821,8:34:43
55.05,100,0,0,56.53,95,68602,8:35:45
55.05,100,56.53,100,56.54,100,69103,8:37:2
56.6,700,56.64,100,56.615,100,70103,8:38:8
55.05,100,0,0,56.68,100,71335,8:39:11
56.72,100,0,0,56.7,6,71349,8:40:13
55.05,100,0,0,56.695,100,71904,8:41:30
56.73,100,0,0,56.725,1,73010,8:42:35
56.79,100,0,0,56.79,7,73750,8:43:38
56.81,100,0,0,56.82,100,74520,8:44:40
55.05,100,0,0,56.865,102,75328,8:45:43
55.05,100,57,200,56.84,8,76383,8:47:1
56.97,100,57,200,56.965,100,77483,8:48:6
55.05,100,57,200,56.91,100,79280,8:49:9
55.05,100,57,200,56.915,10,79415,8:50:12
55.05,100,57,200,56.905,100,80699,8:51:14
55.05,100,56.75,100,56.76,100,81274,8:52:17
55.05,100,56.71,100,56.705,100,81574,8:53:18
56.76,100,57,200,56.795,100,82288,8:54:21
55.05,100,57,200,56.76,100,82502,8:55:23
56.79,100,57,200,56.795,100,83002,8:56:26
55.05,100,56.74,100,56.785,100,83707,8:57:29
55.05,100,56.71,100,56.735,182,83989,8:58:31
55.05,100,56.7,100,56.705,100,84394,8:59:32
55.05,100,57,200,56.735,100,84694,9:0:34
55.05,100,56.72,200,56.715,100,84893,9:1:37
55.05,100,56.73,100,56.725,100,85103,9:2:40
55.05,100,56.73,100,56.72,5,85208,9:3:42
56.7,100,56.73,100,56.715,100,86350,9:4:48
55.05,100,57,200,56.765,300,87279,9:5:49
55.05,100,57,200,56.695,100,87956,9:6:53
55.05,100,56.65,200,56.645,104,88564,9:7:55
56.67,100,56.7,300,56.655,100,89964,9:8:56
55.05,100,56.67,100,56.695,100,90464,9:9:59
56.66,100,56.7,200,56.665,100,90664,9:11:2
55.05,100,56.54,100,56.535,100,91269,9:12:4
