lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,TSLA,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO
1586957402.856588,170.71,281.77,2252.05,1243.1,204.16,175.11,742.01,0.0,0.0,168.7,0.0,90.74,49.78,260.22,59.55,57.59,272.46,0.0,80.915,0.0,84.74,47.65,35.965,22.03,0.0,104.18,40.58,42.27,0.0,0.0,413.285,0.0,37.7,276.65,333.9,80.07,89.87,0.0,312.28,0.0,0.0,84.74,0.0,0.0,178.99,97.295,0.0,75.56,321.85
1586957463.070809,171.25,281.695,2246.0,1244.825,203.92,174.85,735.72,145.675,128.715,169.0,120.79,91.24,49.485,261.24,59.53,57.605,276.25,30.57,81.28,198.66,84.7,47.92,35.96,22.13,136.37,104.02,40.45,42.06,0.0,0.0,416.13,52.96,37.97,276.89,336.045,80.51,89.745,150.24,311.485,59.18,0.0,84.93,224.2,155.135,178.76,97.19,47.805,75.465,322.61
1586957523.279807,170.76,282.535,2250.07,1243.52,204.2,174.71,737.285,145.63,128.61,168.92,121.2,90.855,49.56,261.69,59.56,57.64,275.59,30.47,81.28,198.66,84.71,47.865,36.01,22.055,136.37,104.09,40.43,42.18,0.0,0.0,419.05,52.97,37.97,277.84,337.13,80.29,89.965,149.93,311.485,59.385,0.0,85.0,224.13,155.39,179.1,97.07,47.805,75.7,322.045
1586957583.487059,170.855,282.8,2261.51,1244.08,204.29,175.0,743.41,144.78,128.72,168.77,121.4,91.205,49.67,261.58,59.455,57.82,275.49,30.56,81.615,200.855,84.79,47.98,35.99,22.305,136.82,103.79,40.46,42.3,0.0,0.0,420.15,53.16,37.975,277.585,336.385,81.055,90.6,149.96,313.43,59.405,0.0,84.88,224.13,155.45,179.775,97.085,47.81,75.54,322.045
1586957643.700627,171.3,282.42,2257.44,1241.42,203.86,175.01,740.0,144.73,128.235,168.69,121.11,91.04,49.74,261.03,59.32,57.78,275.22,30.57,81.615,201.08,84.8,47.98,36.015,22.35,136.92,104.005,40.39,42.27,0.0,0.0,419.265,53.19,38.015,277.57,336.93,80.68,90.7,150.22,312.6,59.4,117.3,84.92,224.64,155.34,180.16,97.51,47.81,75.41,322.045
1586957703.901999,170.87,282.62,2260.63,1244.35,203.85,174.73,742.995,144.51,127.85,168.63,120.71,90.92,49.66,261.16,59.315,57.79,273.485,30.52,81.47,201.08,84.72,48.075,35.965,22.32,136.71,103.885,40.48,42.25,0.0,0.0,419.12,53.17,37.905,278.36,337.765,81.135,90.14,150.05,312.07,59.36,117.425,84.68,224.64,155.325,180.75,97.56,47.81,75.34,324.745
1586957764.12364,170.79,282.64,2260.27,1246.69,203.945,174.61,743.92,144.65,128.235,168.56,120.62,91.68,49.695,261.215,59.315,57.86,275.5,30.64,81.315,200.43,84.71,48.175,35.925,22.52,136.64,103.765,40.35,42.215,0.0,0.0,417.85,53.135,37.84,278.51,337.765,81.01,89.95,150.57,312.07,59.27,117.49,84.86,224.64,155.04,180.75,97.0,47.81,75.08,324.745
1586957824.352838,170.82,282.96,2262.78,1247.85,204.065,174.96,742.93,144.51,128.58,168.92,120.26,91.92,49.58,261.64,59.265,57.84,277.19,30.675,81.315,201.21,84.71,48.2,35.91,22.64,136.75,103.96,40.39,42.16,0.0,39.265,421.255,53.105,37.84,278.11,337.34,81.26,90.04,150.23,312.07,59.31,117.69,84.86,224.27,155.38,180.75,97.39,47.81,75.15,324.025
1586957885.762354,170.73,282.88,2268.0,1248.22,204.15,174.79,744.54,144.71,128.72,168.9,120.14,91.7,49.505,261.2,59.3,57.83,278.11,30.65,81.4,201.3,84.83,48.225,35.965,22.585,136.75,103.83,40.38,42.19,0.0,39.265,423.205,53.29,37.84,280.29,336.67,81.65,90.625,150.69,312.645,59.42,117.71,84.86,223.21,155.35,180.0,97.82,47.81,75.2,324.215
1586957945.97168,170.8,282.885,2273.5,1250.27,204.26,175.0,750.72,144.67,128.9,168.885,119.735,91.06,49.475,262.26,59.315,57.755,278.595,30.6,81.4,201.925,84.83,48.225,35.925,22.465,136.75,103.76,40.42,42.09,123.875,39.265,421.19,53.25,37.83,280.29,337.8,81.66,90.44,150.96,312.645,59.395,117.71,85.07,223.37,155.49,180.0,97.72,47.81,74.905,324.17
