lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,TSLA,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO,MSFT_volume,AAPL_volume,AMZN_volume,GOOGL_volume,BABA_volume,FB_volume,TSLA_volume,JNJ_volume,WMT_volume,V_volume,PG_volume,JPM_volume,TSM_volume,MA_volume,INTC_volume,VZ_volume,UNH_volume,T_volume,MRK_volume,HD_volume,NVS_volume,KO_volume,PFE_volume,BAC_volume,PEP_volume,DIS_volume,XOM_volume,CSCO_volume,TM_volume,CHL_volume,NFLX_volume,ORCL_volume,CMCSA_volume,NVDA_volume,ADBE_volume,CVX_volume,ABT_volume,LLY_volume,COST_volume,BMY_volume,SAP_volume,NKE_volume,AMGN_volume,CRM_volume,MCD_volume,MDT_volume,AZN_volume,PM_volume,TMO_volume
1587043802.91827,174.425,287.59,2346.53,1268.38,210.76,178.015,716.28,148.27,0.0,167.31,122.34,90.24,52.015,258.1,59.67,57.345,283.22,30.24,82.435,199.195,87.52,47.44,36.08,22.06,135.53,103.69,40.17,41.715,0.0,0.0,437.12,0.0,0.0,287.3,338.7,81.54,92.65,0.0,314.52,0.0,0.0,85.49,0.0,156.74,176.955,0.0,0.0,76.2,327.85,1342,1759,319,27,509,2663,325,80,0,795,223,119,670,1,300,1200,270,210,1250,900,100,139,300,2600,200,405,850,549,0,0,763,0,0,160,75,100,42,0,200,0,0,300,0,900,3,0,0,100,100
1587043863.117292,174.465,287.65,2338.52,1265.52,211.28,177.36,718.38,148.67,129.14,166.54,121.96,90.21,51.8,257.31,59.83,57.42,280.02,30.2,82.705,199.015,87.56,47.495,36.0,22.105,135.78,103.205,40.07,41.745,0.0,38.97,436.09,53.33,37.39,288.83,339.66,81.98,92.6,152.98,313.815,60.16,120.505,85.71,223.97,156.52,176.255,97.73,48.65,75.8,327.97,7658,6504,4136,655,9987,4568,1198,1081,1120,4495,823,1734,4622,1127,3283,3301,5229,779,2850,1134,700,741,2710,8268,300,1212,3250,1649,0,100,2288,500,274,6310,375,500,9036,100,714,400,100,1000,100,1550,117,400,300,300,400
1587043923.322478,174.75,287.85,2345.745,1266.0,211.36,176.84,721.66,148.81,129.14,166.22,122.345,89.815,52.005,256.38,59.66,57.645,283.0,30.245,83.025,199.47,87.59,47.675,36.0,22.08,136.16,103.295,39.805,41.63,0.0,38.97,440.97,53.28,37.435,288.33,341.0,81.43,92.85,152.97,312.76,60.205,120.505,85.69,225.57,156.955,176.34,97.995,48.65,76.045,328.61,10276,12462,6277,962,21623,6224,1812,2281,1631,9703,1023,5288,8431,1970,4397,7357,5829,979,3150,3035,1100,1441,2710,12931,920,2290,4250,2611,0,100,4744,1610,374,8070,718,2340,10856,201,1305,800,100,1301,432,1950,217,700,300,1000,600
1587043983.52708,175.12,288.03,2349.94,1271.99,211.3,177.12,713.46,148.83,129.29,165.64,121.9,89.82,52.26,255.37,59.74,57.73,282.845,30.23,83.03,199.77,87.74,47.775,36.18,22.1,136.15,103.38,39.76,41.61,0.0,38.83,440.48,53.4,37.46,289.15,340.86,81.84,93.33,153.82,312.765,60.23,120.505,85.76,226.435,157.26,176.15,97.91,48.65,75.96,329.34,13606,16127,7967,2038,23408,7249,2732,2970,2240,13487,1423,7294,21465,5220,6297,14476,7050,1121,4150,5485,1300,2547,2901,14439,1597,5391,4450,3211,0,200,6604,2010,674,10059,884,3540,18156,334,1716,1000,100,1603,532,2250,642,900,300,1300,700
1587044043.748368,175.27,288.06,2350.0,1269.83,211.285,177.61,711.55,148.82,128.93,166.06,121.82,89.77,52.2,256.63,59.785,57.685,282.715,30.145,82.815,199.525,87.63,47.66,36.17,22.0,136.06,103.36,39.91,41.71,0.0,38.83,437.57,53.42,37.36,289.605,340.9,81.67,93.5,153.89,312.13,60.29,120.505,85.6,226.0,157.25,175.55,97.89,48.65,75.985,329.34,17858,18487,8920,2788,27938,9927,4980,3571,3964,18687,3103,7949,26544,7125,7897,18484,7767,3297,4350,7686,2000,13318,3794,24191,2372,7391,4575,3611,0,300,7026,2221,1174,12434,1184,3549,19256,434,2591,1101,100,1903,732,2650,1342,1509,300,1900,700
1587044104.248641,174.985,286.79,2353.61,1271.355,210.285,177.03,709.79,148.84,129.17,165.65,121.56,89.3,52.11,255.35,59.54,57.695,282.81,30.125,82.9,199.29,87.59,47.605,36.17,21.93,135.85,102.79,39.73,41.575,0.0,38.84,437.78,53.475,37.275,287.445,341.4,81.45,93.285,153.935,312.56,60.17,120.505,85.21,226.46,156.925,174.335,97.88,48.65,75.955,328.98,23322,21138,9343,3291,31081,12427,5394,5476,5074,19989,4572,11153,30798,10600,8663,23820,8767,4577,7062,8586,2200,18479,5016,27633,2573,9131,5075,6024,0,500,7683,6055,2474,13284,1585,4060,21065,740,3341,1301,100,2303,1432,3250,3186,3009,300,2234,1700
1587044165.179839,174.38,286.465,2349.2,1267.385,209.825,176.48,708.86,148.27,129.14,164.62,121.3,89.14,52.25,253.92,59.535,57.605,281.725,30.17,82.795,198.615,87.275,47.5,36.03,21.85,135.75,102.5,39.685,41.36,0.0,38.84,437.02,53.45,37.15,287.35,340.27,81.14,92.73,153.51,312.68,60.04,120.505,85.08,226.11,156.695,174.37,97.58,48.65,75.79,328.94,26621,26338,10714,3850,32973,13063,5675,13120,6194,25337,4914,16468,36011,11500,13063,28128,9567,8392,11049,9686,3269,20288,5116,34925,3583,13949,5675,7612,0,500,8285,8055,4101,14634,2585,4776,24757,1240,4244,2471,100,2932,1532,3254,4086,5324,300,2241,2000
1587044225.386746,174.25,286.62,2354.02,1263.735,210.08,176.4,711.02,148.43,129.37,163.78,121.185,89.22,52.225,251.775,59.54,57.695,282.74,30.19,82.82,198.83,87.2,47.525,36.09,21.78,135.76,102.25,39.6,41.34,0.0,38.84,437.9,53.365,37.11,287.69,339.44,80.94,92.22,153.44,312.46,59.9,120.505,85.135,226.24,156.695,174.33,97.45,48.65,75.915,328.59,27921,27284,12154,4388,34594,14296,6076,13523,8335,29488,6234,17636,39618,12900,13563,33073,10567,9113,11799,10386,3516,22839,5983,58869,3594,15528,6075,8942,0,500,9015,9219,5867,15235,2862,5276,29509,1549,5104,3271,100,4332,1832,3254,4586,7626,300,2441,2336
1587044285.591769,174.105,286.77,2351.97,1262.035,209.87,175.92,712.23,148.09,129.16,163.41,121.12,89.335,52.23,251.395,59.42,57.545,282.04,30.155,82.885,198.76,87.24,47.525,36.08,21.79,135.815,101.97,39.63,41.285,0.0,38.84,434.975,53.325,37.055,287.3,339.185,80.815,92.12,153.09,312.28,59.995,120.505,85.14,225.35,156.695,172.98,97.455,48.65,75.93,328.43,30721,27634,12571,4788,35410,16516,6413,15631,9740,32088,7363,19553,44383,14500,15263,44318,11667,10245,16114,11286,3620,25563,5985,73104,3713,16423,6575,9642,0,500,10041,9960,6667,16228,3362,8376,33777,1774,5679,3671,100,4432,1932,3254,5391,9031,300,2841,2338
1587044345.796293,173.86,287.21,2355.03,1263.57,209.85,176.09,714.33,148.27,129.33,163.74,121.115,89.83,52.16,252.62,59.585,57.645,282.02,30.19,82.84,199.08,87.24,47.555,36.09,21.915,135.965,102.11,39.695,41.41,0.0,38.83,433.32,53.37,37.115,288.0,339.61,80.97,91.66,153.32,313.32,60.06,119.97,85.03,225.77,156.52,173.685,97.35,48.65,76.025,328.19,32551,28184,13908,5408,36259,16719,6563,17963,11252,34589,9038,23319,50662,16000,22012,47118,12176,11655,16917,11986,3620,30968,6185,78043,3927,18849,6675,10132,0,600,12104,10660,6669,16543,3762,11957,39818,2190,6918,3871,300,5032,2433,3752,7604,12119,300,3641,2482
