lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,TSLA,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO
1588167002.652754,173.11,284.645,2330.46,1341.78,202.85,190.86,790.975,151.325,125.45,176.63,0.0,99.185,0.0,278.3,59.43,58.35,0.0,31.11,82.01,221.01,87.33,47.23,38.38,24.89,136.86,109.85,46.21,43.35,0.0,0.0,398.57,0.0,38.83,296.515,0.0,0.0,0.0,157.84,0.0,62.41,0.0,90.05,239.495,0.0,188.41,99.67,52.02,0.0,333.5
1588167062.859373,172.23,284.57,2327.65,1346.92,202.83,190.59,796.78,150.91,125.14,176.49,0.0,98.94,53.74,277.44,59.39,58.36,291.945,31.2,81.41,221.45,87.225,47.21,38.38,24.755,136.86,109.205,46.325,43.21,0.0,0.0,398.645,54.03,38.795,295.83,338.275,92.585,91.99,157.84,303.73,62.34,117.91,89.95,238.54,158.03,188.16,99.26,51.86,78.0,333.495
1588167123.061219,172.355,284.91,2334.92,1343.725,202.81,190.785,793.42,150.715,125.11,176.58,116.8,99.1,53.61,277.58,59.535,58.38,289.155,31.27,81.28,220.675,87.21,47.17,38.13,24.795,136.12,109.505,46.335,43.255,0.0,0.0,396.27,53.88,38.76,295.24,336.325,92.87,91.69,156.61,303.73,62.305,117.855,89.67,238.54,158.0,187.995,99.235,51.92,77.945,333.13
1588167183.267205,172.3,285.025,2332.855,1344.44,202.78,190.33,792.38,150.77,125.6,177.15,116.92,99.015,53.61,278.01,59.625,58.435,289.26,31.4,81.255,220.6,87.32,47.18,38.23,24.77,135.34,109.62,46.405,43.27,0.0,0.0,398.36,53.945,38.925,294.99,337.305,93.34,91.425,156.565,303.73,62.245,117.955,89.655,238.54,157.9,187.605,99.175,51.98,77.925,333.04
1588167243.494485,172.185,285.12,2333.745,1345.5,202.765,191.43,794.7,150.67,125.46,177.18,116.68,98.85,53.61,277.58,59.515,58.255,287.92,31.385,81.13,220.44,87.16,47.22,38.14,24.73,135.2,109.84,46.43,43.29,0.0,0.0,397.935,53.95,38.83,294.755,336.73,93.07,91.24,156.565,303.73,62.245,117.935,89.87,238.54,157.6,187.605,98.81,51.9,77.82,333.04
1588167303.69748,172.37,285.42,2330.185,1346.925,203.26,191.34,799.77,150.395,125.56,177.12,116.47,98.84,53.685,278.77,59.475,58.32,288.14,31.47,81.21,220.63,87.1,47.29,38.17,24.7,135.66,110.22,46.62,43.37,0.0,0.0,397.275,53.99,38.8,294.99,336.73,93.635,91.24,156.76,303.73,62.21,117.955,89.93,236.565,157.01,187.605,98.97,51.85,78.04,333.04
1588167363.933025,172.55,285.22,2318.38,1348.115,203.23,191.82,797.25,150.45,125.51,177.29,116.47,98.85,53.66,279.33,59.64,58.215,287.5,31.385,80.86,220.84,86.96,47.21,38.14,24.7,135.56,109.595,46.42,43.38,0.0,0.0,395.86,54.01,38.65,294.345,337.21,93.34,91.27,156.52,302.42,62.14,117.955,89.87,236.95,157.04,188.85,99.01,51.74,78.24,333.04
1588167424.152026,172.33,285.3,2319.005,1346.175,203.145,192.53,797.26,150.335,125.19,177.55,116.47,99.12,53.585,279.33,59.81,58.295,287.405,31.395,80.92,220.74,86.94,47.22,38.135,24.79,135.2,109.44,46.55,43.47,0.0,0.0,395.005,53.99,38.7,294.71,337.21,93.34,91.11,156.02,302.42,62.105,117.955,89.82,237.305,157.015,188.5,99.09,51.64,78.24,330.95
1588167484.361617,172.0,284.965,2310.99,1338.665,202.81,191.55,792.35,150.52,124.48,177.735,116.54,98.965,53.55,278.74,59.6,58.26,286.46,31.31,81.22,220.66,87.0,47.17,38.185,24.75,135.395,108.86,46.5,43.305,0.0,0.0,394.46,53.91,38.56,294.055,335.5,92.93,91.46,156.95,302.42,62.16,117.79,89.82,237.22,156.65,188.37,99.01,51.62,78.24,331.25
1588167544.583575,172.39,285.07,2322.94,1337.01,203.72,191.95,792.56,150.55,124.49,178.13,116.515,98.865,53.52,279.52,59.775,58.255,286.65,31.26,80.91,220.25,86.93,47.18,38.205,24.735,135.335,108.77,46.28,43.31,0.0,0.0,395.28,53.825,38.515,294.73,336.19,92.52,91.475,157.11,301.49,62.17,117.79,90.19,237.25,156.86,188.45,99.06,51.52,77.95,331.76
