lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,TSLA,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO,MSFT_volume,AAPL_volume,AMZN_volume,GOOGL_volume,BABA_volume,FB_volume,TSLA_volume,JNJ_volume,WMT_volume,V_volume,PG_volume,JPM_volume,TSM_volume,MA_volume,INTC_volume,VZ_volume,UNH_volume,T_volume,MRK_volume,HD_volume,NVS_volume,KO_volume,PFE_volume,BAC_volume,PEP_volume,DIS_volume,XOM_volume,CSCO_volume,TM_volume,CHL_volume,NFLX_volume,ORCL_volume,CMCSA_volume,NVDA_volume,ADBE_volume,CVX_volume,ABT_volume,LLY_volume,COST_volume,BMY_volume,SAP_volume,NKE_volume,AMGN_volume,CRM_volume,MCD_volume,MDT_volume,AZN_volume,PM_volume,TMO_volume
1587562202.607133,171.55,273.905,2372.24,1241.0,211.84,178.57,702.84,152.74,129.84,163.99,120.14,90.81,52.54,0.0,58.38,57.405,0.0,30.82,0.0,0.0,89.32,0.0,36.945,22.205,132.365,101.76,42.59,0.0,0.0,39.445,429.67,52.0,36.265,277.95,0.0,84.87,0.0,154.33,303.75,0.0,0.0,86.96,0.0,153.76,0.0,98.36,0.0,73.51,323.695,395,225,500,200,431,39126,20,100,100,392,10,209,175,0,21,260,0,2020,0,0,25,0,116,290,6,100,135,0,0,100,962,69,200,504,0,1,0,300,200,0,0,100,0,100,0,100,0,100,215
1587562262.77512,171.62,274.04,2366.07,1238.19,211.89,179.365,704.41,152.42,129.595,164.085,119.66,90.89,52.69,252.015,58.18,57.525,0.0,30.755,79.13,201.585,89.11,45.7,36.79,22.135,132.17,102.005,42.79,41.36,0.0,39.5,426.37,51.965,36.23,278.4,335.875,84.82,94.04,153.76,303.28,61.34,0.0,86.83,233.09,153.71,181.63,98.3,50.65,73.51,325.9,2512,2939,2378,1890,6998,71883,1428,1084,1001,892,771,2123,1406,600,6911,1795,0,10596,100,1350,325,1420,2416,1400,206,618,21320,337,0,500,5096,369,5590,2247,155,4095,1932,700,420,506,0,227,100,804,754,667,300,100,915
1587562322.959355,171.54,274.01,2362.56,1238.53,210.91,180.215,710.24,152.29,129.86,164.155,119.95,90.9,52.585,251.515,57.875,57.595,279.9,30.735,79.22,201.985,89.02,45.68,36.82,22.2,132.25,101.91,42.72,41.46,0.0,39.5,421.33,51.95,36.27,276.68,336.125,84.665,93.98,154.305,303.28,61.245,0.0,86.75,233.09,152.9,182.245,97.97,50.56,73.35,325.43,4866,6370,2758,2094,12792,89254,2480,1534,1220,992,999,2523,5306,806,7311,2855,107,13696,18324,3288,525,2419,5216,1800,406,1018,30331,4364,0,500,10419,2129,7895,2803,158,6481,4119,750,420,1115,0,1328,100,1104,1007,1073,419,800,1615
1587562383.170067,171.34,273.87,2362.03,1242.0,211.285,179.885,705.13,152.29,129.62,164.17,119.73,90.51,52.56,251.59,58.035,57.65,279.9,30.4,79.32,202.41,88.99,45.515,36.76,22.04,131.93,101.97,42.75,41.24,0.0,39.525,422.44,51.89,36.2,276.7,336.125,84.625,93.64,154.29,303.28,61.13,0.0,86.61,233.09,152.99,181.815,97.39,50.53,73.3,326.18,7135,7220,3367,2294,25466,95628,3330,1534,1320,2262,1236,2723,7706,1406,8311,4404,107,21878,25824,3698,885,3524,8116,2802,906,2222,37989,5164,0,900,11778,2979,9992,3612,158,7681,4819,850,420,2917,0,1743,100,1204,1017,2080,519,2113,3077
1587562443.364499,171.41,274.25,2365.44,1241.82,210.87,179.105,711.9,151.96,130.23,164.38,119.8,90.45,52.6,251.59,58.08,57.71,279.91,30.48,79.59,203.07,89.02,45.65,36.7,22.04,132.1,102.085,42.82,41.34,0.0,39.525,421.09,51.89,36.18,276.255,335.99,84.385,93.29,154.29,303.28,61.15,117.17,86.81,231.95,153.07,182.43,97.35,50.57,73.42,324.0,9674,9051,3895,4057,27557,101833,3532,1934,1998,2712,1436,3032,9222,1406,9111,5704,307,34304,27235,4608,985,5525,15645,4148,2102,4123,45251,6864,0,900,15036,2979,14133,4312,458,8686,6929,850,420,4245,50,2615,133,1304,1117,3780,619,2461,3538
1587562503.567026,171.42,273.85,2363.96,1239.37,210.92,178.535,711.9,152.235,130.16,164.22,119.37,90.545,52.645,251.85,58.215,57.74,280.31,30.46,79.475,203.27,88.99,45.68,36.685,22.06,132.135,102.19,42.73,41.475,0.0,39.575,420.56,51.965,36.195,275.98,335.37,84.53,93.25,154.335,303.28,61.075,117.17,87.12,232.13,152.96,182.54,97.32,50.57,73.43,321.425,12375,11177,4197,4232,30987,127150,3532,2434,2098,3987,2836,3258,9647,2457,10431,6744,351,40009,28536,5098,1085,9829,23159,4848,2902,6915,48126,10064,0,1600,16980,3279,16690,5052,658,9186,9429,1050,420,4945,50,3915,333,2009,1393,7219,619,2561,4870
1587562563.769925,172.21,274.785,2370.89,1242.46,211.42,179.92,709.46,152.35,130.44,164.215,119.89,90.605,52.695,252.02,58.47,57.8,279.92,30.45,79.69,203.755,88.99,45.68,36.665,22.065,132.39,102.44,42.715,41.63,121.46,39.69,420.0,52.32,36.24,277.865,337.03,84.51,93.195,154.39,304.085,61.22,117.31,87.22,231.55,153.45,182.79,96.59,50.56,73.71,323.265,14061,13252,4394,4326,33049,143713,4031,2721,8452,4687,3506,3648,12047,3257,11977,8244,951,45317,29208,5927,1385,11037,24595,6548,4816,10583,51651,10784,100,2300,18767,4789,19558,6452,661,9346,14098,1450,461,5345,150,6835,603,3806,1529,11307,919,3372,5688
1587562623.996391,172.0,274.17,2373.87,1243.975,210.7,179.45,705.17,152.47,130.25,163.72,119.8,90.605,52.68,251.515,58.55,57.72,280.16,30.36,79.64,203.07,88.96,45.63,36.59,22.08,132.11,102.03,42.68,41.575,121.46,39.75,422.28,52.24,36.19,277.985,337.675,84.48,93.12,154.12,304.56,61.15,117.305,86.94,230.835,153.055,182.02,96.635,50.57,73.71,325.225,14463,14398,4404,4831,36072,153937,4431,2937,9089,5642,4010,3648,15218,5457,20886,9844,1251,48211,32808,6627,1447,11537,25205,8614,6816,12883,53059,10884,100,2500,20506,5931,23308,7952,1261,9647,17232,1565,561,6901,450,7439,903,4611,1643,12509,1019,3372,6779
1587562684.197589,171.56,273.975,2368.56,1243.61,210.16,179.57,703.975,152.63,129.9,163.6,119.57,90.605,52.735,251.57,58.565,57.68,280.16,30.355,79.66,202.52,88.93,45.56,36.54,22.1,132.04,102.02,42.84,41.52,121.46,39.59,419.22,52.04,36.145,278.54,337.675,84.5,93.365,154.12,304.66,61.18,117.15,86.9,230.835,152.5,181.645,96.5,50.57,73.14,324.3,15269,15772,4454,5203,40263,162157,7593,3837,9389,6843,4015,3648,16714,6657,22511,11444,1251,51411,35216,6655,1747,13707,25750,11734,7616,13485,54068,11084,100,3467,22032,6131,26380,10952,1261,10161,18932,1565,656,7301,454,7547,903,5111,1663,16017,1019,3422,7551
1587562744.400696,171.81,273.92,2369.92,1243.61,210.3,180.05,703.19,153.31,129.96,163.41,119.65,90.56,52.68,251.7,58.7,57.72,280.16,30.3,79.72,202.71,88.93,45.66,36.55,22.095,132.04,101.97,42.85,41.5,121.46,39.63,421.98,52.07,36.185,280.0,336.43,84.79,93.24,154.835,304.66,61.185,117.32,86.97,231.395,152.86,181.885,96.15,50.57,73.19,324.815,17069,18823,4599,5203,42613,163057,8693,4737,9689,7343,5025,5911,17414,8057,26865,13844,1251,53050,40102,6865,1747,14309,27664,12064,8718,14987,54989,12384,100,4267,25526,6331,29174,11468,1361,10908,20432,1669,656,7601,754,8361,1407,6011,2120,20925,1019,3523,9162
