lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,TSLA,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO,MSFT_volume,AAPL_volume,AMZN_volume,GOOGL_volume,BABA_volume,FB_volume,TSLA_volume,JNJ_volume,WMT_volume,V_volume,PG_volume,JPM_volume,TSM_volume,MA_volume,INTC_volume,VZ_volume,UNH_volume,T_volume,MRK_volume,HD_volume,NVS_volume,KO_volume,PFE_volume,BAC_volume,PEP_volume,DIS_volume,XOM_volume,CSCO_volume,TM_volume,CHL_volume,NFLX_volume,ORCL_volume,CMCSA_volume,NVDA_volume,ADBE_volume,CVX_volume,ABT_volume,LLY_volume,COST_volume,BMY_volume,SAP_volume,NKE_volume,AMGN_volume,CRM_volume,MCD_volume,MDT_volume,AZN_volume,PM_volume,TMO_volume
1588080601.921453,175.55,285.21,2370.225,0.0,204.89,188.86,801.0,0.0,0.0,0.0,117.165,97.78,53.47,0.0,59.98,0.0,0.0,30.99,0.0,223.96,90.54,47.86,39.05,24.47,136.75,108.62,0.0,43.495,0.0,0.0,0.0,0.0,0.0,303.29,353.25,89.615,94.85,0.0,310.635,62.95,0.0,0.0,0.0,159.515,189.575,0.0,0.0,0.0,342.8,206,960,4,0,22,320,50,0,0,0,1,505,300,0,1329,0,0,300,0,100,200,62,700,200,200,106,0,8300,0,0,0,0,0,310,201,100,100,0,97,100,0,0,0,100,148,0,0,0,300
1588080662.144249,174.575,285.17,2365.0,1277.14,204.06,187.71,799.775,151.845,128.18,173.56,116.88,97.6,53.43,269.565,59.82,57.785,295.95,31.01,81.875,223.775,90.23,47.56,39.015,24.51,135.76,108.89,44.49,43.47,0.0,0.0,418.41,53.955,38.735,303.065,352.2,90.63,94.38,161.08,310.15,62.86,0.0,90.28,244.34,159.46,189.175,102.265,52.16,76.38,344.29,5957,6822,1361,406,10364,12228,7538,10555,3409,2790,501,3941,8802,3817,4594,2200,5385,9321,5694,4860,1150,10437,12746,13679,2895,7563,1768,16500,0,0,954,300,5710,812,531,2072,5224,10,197,1425,0,5300,1020,500,1982,538,385,1571,2700
1588080726.307526,174.05,284.94,2343.23,1269.93,203.17,187.79,793.575,151.56,127.88,174.255,116.735,97.935,53.38,270.27,59.5,57.89,294.87,31.04,81.89,223.075,90.11,47.61,38.785,24.555,135.745,109.395,44.67,43.43,0.0,40.85,414.64,53.87,38.875,301.8,350.88,90.62,94.05,160.64,310.15,62.595,0.0,90.11,243.53,159.535,189.175,101.98,52.16,76.6,341.575,7567,8227,2242,626,24613,17008,11421,33800,4049,4756,2365,9467,13817,5537,8884,2911,5885,19497,18227,5760,1809,17956,23369,25031,8044,14348,3119,17700,0,100,2327,711,9393,2516,831,3313,7224,134,197,2425,0,10084,1920,3165,1982,1438,385,2589,4544
1588080786.522401,174.65,285.2,2350.615,1270.93,204.11,188.55,796.38,151.59,127.95,173.96,117.22,97.64,53.44,270.115,59.75,57.94,295.4,31.0,81.28,223.24,89.94,47.34,38.64,24.52,136.41,109.04,44.51,43.44,0.0,40.83,417.31,53.92,38.96,301.23,350.95,90.27,93.985,159.99,308.73,62.58,0.0,90.0,243.31,159.75,189.03,101.69,52.05,76.51,341.27,8667,10228,3417,2484,31453,19089,13104,37970,4471,5556,2465,11467,15817,6937,10384,4211,6085,24491,33914,5960,2409,18656,27674,48463,11144,16768,4578,20500,0,500,3632,2611,17569,3815,1531,5605,8324,863,598,4042,0,12984,2196,3665,2184,1638,785,3089,5643
1588080846.727146,174.81,285.23,2360.465,1273.21,204.22,188.725,794.69,151.615,127.93,173.82,117.23,97.06,53.475,270.27,59.85,57.905,295.37,30.99,81.46,222.91,89.87,47.28,38.58,24.48,136.36,109.035,44.355,43.575,126.38,40.85,416.495,53.845,38.925,301.89,351.425,89.9,93.885,159.68,308.94,62.615,0.0,90.205,242.79,159.955,188.675,101.6,51.97,76.4,341.45,10592,10760,6617,2843,36814,21764,15227,41551,4671,7156,2565,15225,19521,9020,12209,5574,6114,28121,41321,6533,3427,24402,29028,55821,12971,21087,6155,22362,500,600,4387,3922,22184,4231,2181,8705,10039,1263,1073,4842,0,13917,2414,4510,2189,1938,899,3989,6772
1588080906.932398,175.08,285.58,2358.075,1271.18,204.37,189.005,794.81,151.675,128.205,173.93,116.62,97.025,53.5,270.18,59.86,57.845,295.425,30.93,80.955,222.78,89.9,47.305,38.62,24.47,136.31,109.625,44.29,43.61,126.38,40.85,418.245,53.87,39.06,302.45,350.9,89.82,93.785,160.57,310.38,62.64,0.0,90.26,243.2,159.975,188.625,101.34,51.97,76.46,341.09,11492,11342,7017,3512,41597,26156,18647,45810,4871,7756,4940,21199,27491,10520,15421,7174,7432,31139,55403,7033,3927,26683,33428,62760,13471,28360,6914,23384,500,625,6177,4322,23887,5665,2981,11905,12005,4263,1248,6133,0,14458,3592,4874,2758,2215,1199,4490,24797
1588080967.139091,174.68,285.725,2366.58,1271.11,204.16,188.425,797.51,152.29,128.605,173.91,116.46,96.76,53.535,270.31,59.8,57.885,294.68,30.895,80.42,223.385,90.01,47.315,38.7,24.375,137.11,109.67,44.31,43.595,126.38,40.85,416.975,53.77,39.02,301.815,351.305,89.6,93.61,160.38,310.605,62.695,119.05,90.425,243.165,159.9,188.96,101.17,51.97,76.46,342.24,13349,11952,7517,3822,44627,26653,22089,46897,6161,8356,6284,21820,29792,12070,16350,8056,7832,35648,61551,7295,4685,31539,34329,74212,16553,34175,7981,26584,500,625,7378,5022,26155,6802,3252,13705,20147,6492,1456,7033,200,14858,3835,5342,3259,3312,1199,4490,36901
1588081027.366767,174.49,285.54,2357.21,1267.455,203.93,188.09,798.285,151.865,128.33,174.11,116.52,97.05,53.505,270.445,59.63,57.9,294.545,30.945,80.46,223.385,89.69,47.405,38.59,24.485,136.965,109.73,44.5,43.395,126.38,40.85,416.27,53.75,39.035,301.69,350.89,89.985,93.63,160.58,310.605,62.64,119.05,90.415,242.83,159.62,189.065,101.13,51.935,76.8,341.3,14160,13091,7947,4348,53454,28828,23296,47802,8061,9101,6293,29744,32492,13894,19539,8755,8132,38548,69695,7295,5385,38705,35329,79514,18556,39148,8523,31052,500,625,8090,5322,26955,7260,3652,16129,20171,6667,1456,8933,200,16158,4385,5542,3659,3509,1299,4890,37115
1588081087.574568,174.305,284.8,2356.5,1265.5,203.49,187.4,790.01,151.725,128.4,174.055,116.29,96.84,53.575,270.96,59.665,57.83,293.77,31.0,80.35,222.825,89.58,47.445,38.465,24.445,136.69,109.64,44.5,43.365,126.38,40.85,415.22,53.705,38.92,300.68,351.645,90.0,93.27,160.36,310.53,62.64,119.05,90.42,243.11,160.17,188.965,101.21,51.94,76.73,341.335,15869,13401,8168,4548,54654,29078,24902,52471,8591,13701,6493,32644,35096,16682,20740,9255,8432,43185,76220,7660,6585,41338,56852,80629,19356,42049,8949,34188,500,625,8516,5446,29855,7710,3752,20629,20583,7067,1556,9233,200,17963,4646,5887,6259,3819,1399,5090,37545
1588081147.795765,174.105,284.56,2354.88,1266.58,203.34,187.94,789.48,152.17,128.35,174.055,116.52,96.9,53.54,270.86,59.715,57.82,294.78,30.975,80.8,222.66,89.7,47.465,38.455,24.395,136.72,109.67,44.58,43.365,126.38,40.85,415.21,53.725,38.755,299.27,351.58,90.02,93.67,160.75,310.47,62.76,118.86,90.34,243.23,160.38,189.07,101.31,51.93,76.75,341.825,19503,16782,8368,4946,55881,29152,26207,53175,9691,15042,6993,33537,35396,17182,21630,9756,8632,45187,93874,7760,6985,43138,63653,83369,20262,44799,10338,36288,500,625,11066,5622,30656,8110,4245,24829,21183,7107,1856,9533,225,19363,4747,6487,6559,5019,1999,6190,37856
