lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,TSLA,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO
1587043802.91827,174.425,287.59,2346.53,1268.38,210.76,178.015,716.28,148.27,0.0,167.31,122.34,90.24,52.015,258.1,59.67,57.345,283.22,30.24,82.435,199.195,87.52,47.44,36.08,22.06,135.53,103.69,40.17,41.715,0.0,0.0,437.12,0.0,0.0,287.3,338.7,81.54,92.65,0.0,314.52,0.0,0.0,85.49,0.0,156.74,176.955,0.0,0.0,76.2,327.85
1587043863.117292,174.465,287.65,2338.52,1265.52,211.28,177.36,718.38,148.67,129.14,166.54,121.96,90.21,51.8,257.31,59.83,57.42,280.02,30.2,82.705,199.015,87.56,47.495,36.0,22.105,135.78,103.205,40.07,41.745,0.0,38.97,436.09,53.33,37.39,288.83,339.66,81.98,92.6,152.98,313.815,60.16,120.505,85.71,223.97,156.52,176.255,97.73,48.65,75.8,327.97
1587043923.322478,174.75,287.85,2345.745,1266.0,211.36,176.84,721.66,148.81,129.14,166.22,122.345,89.815,52.005,256.38,59.66,57.645,283.0,30.245,83.025,199.47,87.59,47.675,36.0,22.08,136.16,103.295,39.805,41.63,0.0,38.97,440.97,53.28,37.435,288.33,341.0,81.43,92.85,152.97,312.76,60.205,120.505,85.69,225.57,156.955,176.34,97.995,48.65,76.045,328.61
1587043983.52708,175.12,288.03,2349.94,1271.99,211.3,177.12,713.46,148.83,129.29,165.64,121.9,89.82,52.26,255.37,59.74,57.73,282.845,30.23,83.03,199.77,87.74,47.775,36.18,22.1,136.15,103.38,39.76,41.61,0.0,38.83,440.48,53.4,37.46,289.15,340.86,81.84,93.33,153.82,312.765,60.23,120.505,85.76,226.435,157.26,176.15,97.91,48.65,75.96,329.34
1587044043.748368,175.27,288.06,2350.0,1269.83,211.285,177.61,711.55,148.82,128.93,166.06,121.82,89.77,52.2,256.63,59.785,57.685,282.715,30.145,82.815,199.525,87.63,47.66,36.17,22.0,136.06,103.36,39.91,41.71,0.0,38.83,437.57,53.42,37.36,289.605,340.9,81.67,93.5,153.89,312.13,60.29,120.505,85.6,226.0,157.25,175.55,97.89,48.65,75.985,329.34
1587044104.248641,174.985,286.79,2353.61,1271.355,210.285,177.03,709.79,148.84,129.17,165.65,121.56,89.3,52.11,255.35,59.54,57.695,282.81,30.125,82.9,199.29,87.59,47.605,36.17,21.93,135.85,102.79,39.73,41.575,0.0,38.84,437.78,53.475,37.275,287.445,341.4,81.45,93.285,153.935,312.56,60.17,120.505,85.21,226.46,156.925,174.335,97.88,48.65,75.955,328.98
1587044165.179839,174.38,286.465,2349.2,1267.385,209.825,176.48,708.86,148.27,129.14,164.62,121.3,89.14,52.25,253.92,59.535,57.605,281.725,30.17,82.795,198.615,87.275,47.5,36.03,21.85,135.75,102.5,39.685,41.36,0.0,38.84,437.02,53.45,37.15,287.35,340.27,81.14,92.73,153.51,312.68,60.04,120.505,85.08,226.11,156.695,174.37,97.58,48.65,75.79,328.94
1587044225.386746,174.25,286.62,2354.02,1263.735,210.08,176.4,711.02,148.43,129.37,163.78,121.185,89.22,52.225,251.775,59.54,57.695,282.74,30.19,82.82,198.83,87.2,47.525,36.09,21.78,135.76,102.25,39.6,41.34,0.0,38.84,437.9,53.365,37.11,287.69,339.44,80.94,92.22,153.44,312.46,59.9,120.505,85.135,226.24,156.695,174.33,97.45,48.65,75.915,328.59
1587044285.591769,174.105,286.77,2351.97,1262.035,209.87,175.92,712.23,148.09,129.16,163.41,121.12,89.335,52.23,251.395,59.42,57.545,282.04,30.155,82.885,198.76,87.24,47.525,36.08,21.79,135.815,101.97,39.63,41.285,0.0,38.84,434.975,53.325,37.055,287.3,339.185,80.815,92.12,153.09,312.28,59.995,120.505,85.14,225.35,156.695,172.98,97.455,48.65,75.93,328.43
1587044345.796293,173.86,287.21,2355.03,1263.57,209.85,176.09,714.33,148.27,129.33,163.74,121.115,89.83,52.16,252.62,59.585,57.645,282.02,30.19,82.84,199.08,87.24,47.555,36.09,21.915,135.965,102.11,39.695,41.41,0.0,38.83,433.32,53.37,37.115,288.0,339.61,80.97,91.66,153.32,313.32,60.06,119.97,85.03,225.77,156.52,173.685,97.35,48.65,76.025,328.19
1587044405.972485,173.66,286.82,2350.595,1263.28,209.965,176.09,714.79,148.46,129.44,163.9,121.33,89.57,52.25,251.845,59.69,57.62,282.33,30.18,82.88,198.71,87.24,47.555,36.12,21.855,136.035,101.925,39.745,41.39,0.0,38.83,433.04,53.39,37.15,288.15,339.035,80.78,91.73,153.36,313.12,60.18,119.88,84.82,225.74,156.35,173.05,97.09,48.65,75.92,327.15
1587044466.17778,174.07,287.05,2355.46,1263.825,210.03,176.255,717.94,148.68,129.32,163.99,121.35,89.78,52.35,251.25,59.645,57.63,282.76,30.205,82.87,198.69,87.24,47.525,36.08,21.96,135.735,102.87,39.88,41.4,0.0,38.83,434.2,53.385,37.125,288.455,340.08,81.165,91.45,153.63,312.94,60.285,119.88,84.95,225.76,156.595,173.31,97.13,48.65,75.96,327.22
1587044526.497574,174.19,287.23,2353.75,1264.465,210.23,176.72,719.555,148.07,129.02,163.955,121.0,89.64,52.315,251.55,59.725,57.56,283.27,30.2,82.81,198.45,87.24,47.435,36.11,21.91,135.63,103.23,39.95,41.44,0.0,38.92,434.41,53.385,37.105,289.31,340.22,81.39,91.565,153.3,312.63,60.31,119.88,84.95,225.91,156.595,173.51,97.11,48.65,76.01,327.29
1587044586.702426,174.245,287.06,2354.02,1263.13,210.52,176.31,719.72,148.01,129.01,164.12,120.86,89.705,52.35,252.13,59.795,57.46,283.38,30.21,82.81,199.0,87.24,47.415,36.08,21.915,135.785,103.395,39.855,41.33,0.0,38.92,434.99,53.365,37.105,290.01,339.355,81.45,91.25,153.58,313.59,60.26,119.88,84.99,225.43,156.89,173.62,97.01,48.645,75.985,327.59
1587044646.904684,173.98,287.06,2357.05,1261.32,210.77,176.09,717.41,148.215,129.0,164.02,120.895,89.58,52.5,251.27,59.795,57.465,283.67,30.2,82.69,199.23,87.24,47.325,36.065,21.88,135.665,103.5,39.93,41.41,0.0,38.92,437.4,53.33,37.0,290.47,338.53,81.47,91.49,153.36,313.59,60.15,119.77,84.99,224.93,156.545,174.09,96.81,48.655,75.965,327.09
1587044707.254607,174.305,286.54,2363.485,1262.7,210.87,176.69,722.68,148.275,128.82,163.53,120.915,89.54,52.57,251.39,59.75,57.385,283.91,30.165,82.76,198.46,87.24,47.34,36.13,21.86,135.665,103.4,39.925,41.42,0.0,38.92,437.815,53.315,36.95,291.5,338.58,81.54,92.4,153.36,313.775,60.145,119.745,85.12,225.43,156.56,174.33,96.805,48.655,75.92,327.51
