lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,TSLA,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO
1587562202.607133,171.55,273.905,2372.24,1241.0,211.84,178.57,702.84,152.74,129.84,163.99,120.14,90.81,52.54,0.0,58.38,57.405,0.0,30.82,0.0,0.0,89.32,0.0,36.945,22.205,132.365,101.76,42.59,0.0,0.0,39.445,429.67,52.0,36.265,277.95,0.0,84.87,0.0,154.33,303.75,0.0,0.0,86.96,0.0,153.76,0.0,98.36,0.0,73.51,323.695
1587562262.77512,171.62,274.04,2366.07,1238.19,211.89,179.365,704.41,152.42,129.595,164.085,119.66,90.89,52.69,252.015,58.18,57.525,0.0,30.755,79.13,201.585,89.11,45.7,36.79,22.135,132.17,102.005,42.79,41.36,0.0,39.5,426.37,51.965,36.23,278.4,335.875,84.82,94.04,153.76,303.28,61.34,0.0,86.83,233.09,153.71,181.63,98.3,50.65,73.51,325.9
1587562322.959355,171.54,274.01,2362.56,1238.53,210.91,180.215,710.24,152.29,129.86,164.155,119.95,90.9,52.585,251.515,57.875,57.595,279.9,30.735,79.22,201.985,89.02,45.68,36.82,22.2,132.25,101.91,42.72,41.46,0.0,39.5,421.33,51.95,36.27,276.68,336.125,84.665,93.98,154.305,303.28,61.245,0.0,86.75,233.09,152.9,182.245,97.97,50.56,73.35,325.43
1587562383.170067,171.34,273.87,2362.03,1242.0,211.285,179.885,705.13,152.29,129.62,164.17,119.73,90.51,52.56,251.59,58.035,57.65,279.9,30.4,79.32,202.41,88.99,45.515,36.76,22.04,131.93,101.97,42.75,41.24,0.0,39.525,422.44,51.89,36.2,276.7,336.125,84.625,93.64,154.29,303.28,61.13,0.0,86.61,233.09,152.99,181.815,97.39,50.53,73.3,326.18
1587562443.364499,171.41,274.25,2365.44,1241.82,210.87,179.105,711.9,151.96,130.23,164.38,119.8,90.45,52.6,251.59,58.08,57.71,279.91,30.48,79.59,203.07,89.02,45.65,36.7,22.04,132.1,102.085,42.82,41.34,0.0,39.525,421.09,51.89,36.18,276.255,335.99,84.385,93.29,154.29,303.28,61.15,117.17,86.81,231.95,153.07,182.43,97.35,50.57,73.42,324.0
1587562503.567026,171.42,273.85,2363.96,1239.37,210.92,178.535,711.9,152.235,130.16,164.22,119.37,90.545,52.645,251.85,58.215,57.74,280.31,30.46,79.475,203.27,88.99,45.68,36.685,22.06,132.135,102.19,42.73,41.475,0.0,39.575,420.56,51.965,36.195,275.98,335.37,84.53,93.25,154.335,303.28,61.075,117.17,87.12,232.13,152.96,182.54,97.32,50.57,73.43,321.425
1587562563.769925,172.21,274.785,2370.89,1242.46,211.42,179.92,709.46,152.35,130.44,164.215,119.89,90.605,52.695,252.02,58.47,57.8,279.92,30.45,79.69,203.755,88.99,45.68,36.665,22.065,132.39,102.44,42.715,41.63,121.46,39.69,420.0,52.32,36.24,277.865,337.03,84.51,93.195,154.39,304.085,61.22,117.31,87.22,231.55,153.45,182.79,96.59,50.56,73.71,323.265
1587562623.996391,172.0,274.17,2373.87,1243.975,210.7,179.45,705.17,152.47,130.25,163.72,119.8,90.605,52.68,251.515,58.55,57.72,280.16,30.36,79.64,203.07,88.96,45.63,36.59,22.08,132.11,102.03,42.68,41.575,121.46,39.75,422.28,52.24,36.19,277.985,337.675,84.48,93.12,154.12,304.56,61.15,117.305,86.94,230.835,153.055,182.02,96.635,50.57,73.71,325.225
1587562684.197589,171.56,273.975,2368.56,1243.61,210.16,179.57,703.975,152.63,129.9,163.6,119.57,90.605,52.735,251.57,58.565,57.68,280.16,30.355,79.66,202.52,88.93,45.56,36.54,22.1,132.04,102.02,42.84,41.52,121.46,39.59,419.22,52.04,36.145,278.54,337.675,84.5,93.365,154.12,304.66,61.18,117.15,86.9,230.835,152.5,181.645,96.5,50.57,73.14,324.3
1587562744.400696,171.81,273.92,2369.92,1243.61,210.3,180.05,703.19,153.31,129.96,163.41,119.65,90.56,52.68,251.7,58.7,57.72,280.16,30.3,79.72,202.71,88.93,45.66,36.55,22.095,132.04,101.97,42.85,41.5,121.46,39.63,421.98,52.07,36.185,280.0,336.43,84.79,93.24,154.835,304.66,61.185,117.32,86.97,231.395,152.86,181.885,96.15,50.57,73.19,324.815
