lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,TSLA,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO,MSFT_volume,AAPL_volume,AMZN_volume,GOOGL_volume,BABA_volume,FB_volume,TSLA_volume,JNJ_volume,WMT_volume,V_volume,PG_volume,JPM_volume,TSM_volume,MA_volume,INTC_volume,VZ_volume,UNH_volume,T_volume,MRK_volume,HD_volume,NVS_volume,KO_volume,PFE_volume,BAC_volume,PEP_volume,DIS_volume,XOM_volume,CSCO_volume,TM_volume,CHL_volume,NFLX_volume,ORCL_volume,CMCSA_volume,NVDA_volume,ADBE_volume,CVX_volume,ABT_volume,LLY_volume,COST_volume,BMY_volume,SAP_volume,NKE_volume,AMGN_volume,CRM_volume,MCD_volume,MDT_volume,AZN_volume,PM_volume,TMO_volume
1588253403.152773,179.905,289.87,2422.68,1328.92,206.7,206.87,852.37,148.58,122.995,181.445,0.0,95.46,54.23,279.19,61.3,57.85,286.04,30.9,79.875,0.0,85.82,46.8,38.01,24.11,132.4,109.37,47.59,43.07,0.0,0.0,410.95,53.455,36.55,296.45,348.15,93.64,91.91,0.0,305.635,60.74,0.0,86.7,0.0,0.0,182.125,0.0,53.96,0.0,0.0,3834,265,178,236,1100,10261,554,217,286,900,0,510,1200,1,1476,1601,100,610,600,0,200,762,800,201,104,6389,1050,500,0,0,125,5515,900,408,300,500,526,0,1300,400,0,598,0,0,402,0,200,0,0
1588253463.363764,180.3,289.52,2415.0,1328.52,205.885,208.03,848.45,148.25,122.95,181.42,116.54,95.125,54.32,279.515,61.34,57.925,288.64,30.895,79.84,218.035,85.76,46.59,37.91,24.145,132.33,109.7,47.12,43.03,0.0,0.0,411.5,53.27,36.8,296.85,349.8,93.27,92.235,155.04,306.76,60.87,120.13,87.24,236.545,160.86,183.03,97.95,53.9,75.29,333.36,27278,4961,1007,673,13374,34249,5417,1330,846,3503,1125,1513,1700,1148,4080,3225,1800,9647,1609,2037,1108,3269,4429,6461,990,10743,3026,5442,0,0,3271,5887,16564,1205,700,3796,826,4011,4384,2930,156,1701,296,815,1802,705,877,3400,437
1588253523.655047,179.42,289.015,2411.925,1332.42,206.05,206.85,847.04,147.79,123.36,180.53,116.91,94.78,54.2,279.98,61.24,57.855,289.335,30.79,79.775,218.12,85.68,46.53,37.76,24.04,132.225,108.89,46.8,42.86,0.0,40.25,410.835,53.33,36.39,296.09,347.885,92.8,92.31,155.04,307.715,60.915,120.13,86.98,236.12,160.26,181.54,97.71,53.81,74.85,333.055,31966,5632,1783,780,23458,51414,6983,4028,2246,3909,2775,5101,1919,1159,6408,3325,3308,13557,2527,2301,1615,4813,5929,21897,1159,14097,5866,6437,0,100,3978,5987,57522,1353,861,4143,12404,4011,6008,3030,156,2601,714,5977,2202,905,1678,7104,637
1588253583.876245,178.945,289.23,2411.65,1334.21,205.96,206.475,854.355,147.9,123.375,180.84,116.82,94.95,54.105,281.09,61.31,57.83,289.81,30.92,79.795,218.59,85.75,46.48,37.77,24.13,131.79,108.74,46.86,42.88,0.0,40.25,415.21,53.29,36.46,297.19,348.15,92.96,92.64,154.91,306.91,60.905,119.93,86.89,235.25,160.47,182.98,97.79,53.74,74.96,333.05,44195,9170,1953,1081,24632,61633,10859,4828,3046,7293,3500,7481,3231,2583,7488,3814,4167,16221,3737,2401,1814,7413,6131,24212,1859,18461,9105,6788,0,100,4456,6087,70739,1697,1551,4453,13698,4214,10664,5238,356,2811,915,6579,4646,1005,1978,7610,653
1588253644.109916,178.69,289.09,2406.88,1332.13,205.85,205.76,864.96,147.76,122.81,180.76,116.615,95.12,54.08,280.675,61.19,57.67,288.895,30.87,79.685,218.99,85.71,46.36,37.71,24.215,131.21,108.16,46.54,42.71,124.255,40.25,414.18,53.29,36.51,297.74,348.19,91.66,92.83,154.93,305.68,60.7,119.965,86.87,235.13,161.46,183.21,97.91,53.68,74.66,333.7,47300,10595,2356,1278,25432,67511,12660,7050,4254,8494,4100,8895,4895,9983,9242,5188,4267,17236,5366,2502,1966,8389,7562,26707,3059,22267,11897,7390,100,100,4956,6087,77639,2002,1888,5953,14498,4514,10964,6238,456,2913,1903,7784,5349,1405,2578,9115,1155
1588253704.317665,178.77,289.3,2409.41,1329.3,205.49,205.455,866.63,147.38,122.8,181.22,116.63,95.235,54.04,281.06,61.02,57.66,290.58,30.85,79.62,218.99,85.63,46.32,37.7,24.18,131.56,107.89,46.41,42.71,124.255,40.245,413.51,53.17,37.06,297.99,348.875,91.61,92.89,154.93,305.01,60.69,119.89,86.62,234.5,161.45,183.21,97.765,53.495,74.51,333.7,49151,10715,2777,1496,34133,83665,13762,8046,4454,9195,4251,11807,5395,11814,11341,5588,6267,18237,5866,2502,2166,12010,13371,35092,3738,25161,13097,7791,100,700,5156,6287,89431,2610,2189,7163,16003,4614,11564,6638,556,3518,2703,9241,5349,1806,3157,10915,1155
1588253764.518744,177.52,288.75,2406.82,1327.49,205.59,205.51,861.87,147.3,123.04,181.07,116.67,95.375,54.08,281.025,61.03,57.64,290.44,30.845,79.64,219.13,85.63,46.4,37.65,24.17,131.49,108.11,46.38,42.73,124.255,40.245,412.35,53.13,37.005,296.68,348.37,91.78,92.75,154.77,305.26,60.75,119.89,86.56,234.115,161.385,182.82,97.73,53.445,74.4,333.7,56339,12712,3243,1622,40968,100207,15102,10952,5849,9600,4961,16507,5795,12848,15359,10537,6367,19974,7066,3502,2166,15739,16209,35829,3868,26563,14978,9054,100,700,5259,6290,95827,2932,2689,8165,21421,4771,12164,6881,556,3848,3003,9841,5449,2006,4624,12515,1155
1588253824.772649,176.51,288.47,2397.08,1330.0,205.15,204.65,850.19,148.15,123.105,180.18,116.72,95.36,53.96,279.07,61.01,57.73,290.44,30.83,80.09,219.155,85.61,46.29,37.71,24.195,131.455,107.985,46.13,42.77,124.255,40.245,411.67,53.145,37.165,296.08,347.135,91.73,92.72,155.2,305.82,60.825,119.68,86.59,234.16,161.415,183.15,97.59,53.535,74.115,333.745,64758,19276,4076,6730,44643,105847,20179,13533,9199,10616,5161,22520,7313,14543,65629,16668,6367,20476,7746,4502,2666,17891,22174,54117,7973,26863,15933,9859,100,700,5493,6794,104416,3712,3148,13024,22421,12193,12564,7581,702,4457,3205,10901,5755,2106,5332,17116,1607
1588253885.007609,176.75,288.9,2402.31,1329.875,205.01,203.91,850.54,148.45,123.085,179.96,117.0,95.09,54.03,278.685,61.04,57.675,291.04,30.73,80.04,219.23,85.68,46.295,37.67,24.095,131.405,107.99,45.87,42.83,124.255,40.24,413.95,53.115,37.405,296.74,347.39,91.43,92.77,155.51,305.82,60.865,119.68,86.665,234.47,161.03,183.08,97.43,53.57,74.275,333.745,68798,20840,4591,6826,48191,118140,23151,15060,9399,12817,5186,25965,9019,15943,66788,22427,8273,22680,8146,5502,3166,22608,22574,79333,8473,29341,17706,9960,100,1600,5695,7294,111416,4012,3548,14244,23736,12443,12564,10131,702,5957,3305,11903,6355,2216,5532,17416,1607
1588253945.298977,177.63,289.6,2403.97,1330.895,204.825,203.75,853.38,149.04,123.015,179.62,117.05,94.95,53.94,278.62,60.98,57.735,291.405,30.705,80.17,219.56,85.71,46.295,37.64,24.05,131.3,107.95,46.05,42.73,124.255,40.29,414.55,53.1,37.27,295.79,346.755,91.42,93.18,156.5,306.21,60.88,119.805,86.73,234.215,161.21,182.67,97.46,53.68,74.25,334.73,72411,21315,5261,7426,48899,124256,25043,15460,10024,14217,5486,26535,9919,19643,68384,25418,8588,30373,8246,6402,4229,25005,37086,84452,8873,29541,19107,12061,100,1800,6047,7594,113216,5112,4348,15045,27536,12543,12884,11831,902,7057,3405,12803,6826,2372,5832,17916,1608
