lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,TSLA,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO
1588253403.152773,179.905,289.87,2422.68,1328.92,206.7,206.87,852.37,148.58,122.995,181.445,0.0,95.46,54.23,279.19,61.3,57.85,286.04,30.9,79.875,0.0,85.82,46.8,38.01,24.11,132.4,109.37,47.59,43.07,0.0,0.0,410.95,53.455,36.55,296.45,348.15,93.64,91.91,0.0,305.635,60.74,0.0,86.7,0.0,0.0,182.125,0.0,53.96,0.0,0.0
1588253463.363764,180.3,289.52,2415.0,1328.52,205.885,208.03,848.45,148.25,122.95,181.42,116.54,95.125,54.32,279.515,61.34,57.925,288.64,30.895,79.84,218.035,85.76,46.59,37.91,24.145,132.33,109.7,47.12,43.03,0.0,0.0,411.5,53.27,36.8,296.85,349.8,93.27,92.235,155.04,306.76,60.87,120.13,87.24,236.545,160.86,183.03,97.95,53.9,75.29,333.36
1588253523.655047,179.42,289.015,2411.925,1332.42,206.05,206.85,847.04,147.79,123.36,180.53,116.91,94.78,54.2,279.98,61.24,57.855,289.335,30.79,79.775,218.12,85.68,46.53,37.76,24.04,132.225,108.89,46.8,42.86,0.0,40.25,410.835,53.33,36.39,296.09,347.885,92.8,92.31,155.04,307.715,60.915,120.13,86.98,236.12,160.26,181.54,97.71,53.81,74.85,333.055
1588253583.876245,178.945,289.23,2411.65,1334.21,205.96,206.475,854.355,147.9,123.375,180.84,116.82,94.95,54.105,281.09,61.31,57.83,289.81,30.92,79.795,218.59,85.75,46.48,37.77,24.13,131.79,108.74,46.86,42.88,0.0,40.25,415.21,53.29,36.46,297.19,348.15,92.96,92.64,154.91,306.91,60.905,119.93,86.89,235.25,160.47,182.98,97.79,53.74,74.96,333.05
1588253644.109916,178.69,289.09,2406.88,1332.13,205.85,205.76,864.96,147.76,122.81,180.76,116.615,95.12,54.08,280.675,61.19,57.67,288.895,30.87,79.685,218.99,85.71,46.36,37.71,24.215,131.21,108.16,46.54,42.71,124.255,40.25,414.18,53.29,36.51,297.74,348.19,91.66,92.83,154.93,305.68,60.7,119.965,86.87,235.13,161.46,183.21,97.91,53.68,74.66,333.7
1588253704.317665,178.77,289.3,2409.41,1329.3,205.49,205.455,866.63,147.38,122.8,181.22,116.63,95.235,54.04,281.06,61.02,57.66,290.58,30.85,79.62,218.99,85.63,46.32,37.7,24.18,131.56,107.89,46.41,42.71,124.255,40.245,413.51,53.17,37.06,297.99,348.875,91.61,92.89,154.93,305.01,60.69,119.89,86.62,234.5,161.45,183.21,97.765,53.495,74.51,333.7
1588253764.518744,177.52,288.75,2406.82,1327.49,205.59,205.51,861.87,147.3,123.04,181.07,116.67,95.375,54.08,281.025,61.03,57.64,290.44,30.845,79.64,219.13,85.63,46.4,37.65,24.17,131.49,108.11,46.38,42.73,124.255,40.245,412.35,53.13,37.005,296.68,348.37,91.78,92.75,154.77,305.26,60.75,119.89,86.56,234.115,161.385,182.82,97.73,53.445,74.4,333.7
1588253824.772649,176.51,288.47,2397.08,1330.0,205.15,204.65,850.19,148.15,123.105,180.18,116.72,95.36,53.96,279.07,61.01,57.73,290.44,30.83,80.09,219.155,85.61,46.29,37.71,24.195,131.455,107.985,46.13,42.77,124.255,40.245,411.67,53.145,37.165,296.08,347.135,91.73,92.72,155.2,305.82,60.825,119.68,86.59,234.16,161.415,183.15,97.59,53.535,74.115,333.745
1588253885.007609,176.75,288.9,2402.31,1329.875,205.01,203.91,850.54,148.45,123.085,179.96,117.0,95.09,54.03,278.685,61.04,57.675,291.04,30.73,80.04,219.23,85.68,46.295,37.67,24.095,131.405,107.99,45.87,42.83,124.255,40.24,413.95,53.115,37.405,296.74,347.39,91.43,92.77,155.51,305.82,60.865,119.68,86.665,234.47,161.03,183.08,97.43,53.57,74.275,333.745
1588253945.298977,177.63,289.6,2403.97,1330.895,204.825,203.75,853.38,149.04,123.015,179.62,117.05,94.95,53.94,278.62,60.98,57.735,291.405,30.705,80.17,219.56,85.71,46.295,37.64,24.05,131.3,107.95,46.05,42.73,124.255,40.29,414.55,53.1,37.27,295.79,346.755,91.42,93.18,156.5,306.21,60.88,119.805,86.73,234.215,161.21,182.67,97.46,53.68,74.25,334.73
