lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,BRK.A,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,RDS.A,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO
1586266203.338229,169.87,271.44,2018.49,1220.18,199.95,171.815,0,140.12,124.05,177.27,116.845,94.39,51.28,282.39,59.89,57.14,260.01,30.42,81.915,202.96,86.56,48.54,35.12,22.81,132.91,104.85,42.99,42.74,0.0,0.0,380.025,52.13,37.1,278.0,327.56,84.94,83.55,38.28,142.72,308.05,58.58,0.0,88.77,213.67,150.5,184.4,97.575,0.0,0.0,0.0
1586266263.539086,168.49,269.33,2016.06,1215.38,199.78,171.32,0,139.89,124.3,177.26,117.28,93.58,51.08,280.66,59.72,57.095,262.34,30.35,81.41,202.41,86.3,48.195,35.0,22.75,132.68,104.82,42.5,42.35,0.0,40.88,378.45,52.07,37.11,276.37,324.5,84.315,83.5,38.37,142.5,306.01,58.395,0.0,88.53,213.24,149.935,183.29,99.715,43.47,76.74,313.33
1586266323.761694,169.545,269.71,2020.5,1220.07,198.9,172.16,286800,140.415,124.66,178.75,117.56,93.74,51.16,282.08,59.79,57.08,265.06,30.51,81.04,203.0,86.27,48.31,34.925,22.77,133.5,105.145,42.46,42.345,0.0,40.845,377.83,52.07,37.54,277.35,324.35,84.07,84.22,38.37,142.51,306.01,58.135,0.0,88.16,213.24,150.205,184.69,100.5,43.465,76.25,313.035
1586266385.962449,169.17,268.8,2014.17,1216.39,198.18,172.06,286800,140.445,124.53,178.02,117.84,93.21,51.14,281.57,59.3,57.03,262.23,30.495,81.175,201.11,86.15,48.14,34.84,22.705,132.98,104.03,42.6,42.21,0.0,40.885,378.22,52.21,37.09,276.84,322.93,84.06,83.84,38.2,142.79,306.57,58.045,0.0,87.855,212.14,150.0,182.425,98.845,43.465,76.32,313.035
1586266446.172082,169.13,267.53,2012.26,1216.53,198.58,171.63,286800,141.26,126.46,177.66,118.705,93.36,51.0,279.99,59.455,57.24,260.77,30.535,81.44,200.89,86.15,48.16,34.89,22.665,133.565,103.57,42.595,42.215,0.0,40.775,379.595,52.22,37.32,275.14,321.31,84.03,84.3,38.11,142.79,306.57,58.035,0.0,87.785,212.7,149.29,182.37,98.525,43.465,76.41,313.035
1586266506.612471,169.04,267.4,2016.5,1215.48,198.87,171.51,286800,141.26,126.03,177.57,118.815,93.3,51.065,279.33,59.7,57.35,259.26,30.64,81.19,200.84,86.29,48.22,34.92,22.69,133.19,102.88,42.665,42.02,0.0,40.81,380.95,52.235,37.25,275.195,321.78,84.35,84.08,38.21,142.16,308.0,58.02,0.0,87.4,213.185,149.46,181.81,98.0,43.56,76.485,313.45
1586266566.77088,168.66,267.4,2015.62,1216.64,199.11,171.5,286800,141.315,125.895,176.73,118.95,93.52,51.205,278.51,59.55,57.31,255.35,30.75,81.17,201.275,86.2,48.28,34.905,22.69,133.22,103.12,42.565,42.09,0.0,40.79,380.0,52.11,37.295,274.42,321.965,84.0,84.05,38.3,142.18,308.29,57.92,0.0,87.28,213.01,149.45,181.865,97.76,43.56,76.47,313.45
1586266628.985848,167.85,267.785,2012.515,1214.035,198.95,170.35,285030,141.065,125.97,176.26,118.99,93.615,51.14,276.995,59.5,57.22,255.54,30.81,80.985,200.72,86.19,48.26,34.815,22.68,133.22,103.14,42.345,42.08,0.0,40.84,379.87,51.98,37.245,273.29,321.72,84.1,84.04,38.35,141.97,307.41,57.835,0.0,87.52,213.11,148.85,182.0,97.67,43.56,76.325,315.29
1586266689.191242,167.645,268.045,2014.615,1212.81,199.09,170.59,285030,140.725,126.12,175.76,119.38,93.84,51.1,275.85,59.435,57.32,255.76,30.92,80.94,200.56,86.18,48.31,34.665,22.635,133.51,103.17,42.355,42.035,0.0,40.87,379.66,51.9,37.145,271.885,321.08,84.005,83.99,38.4,142.19,307.41,57.99,0.0,87.235,213.34,148.69,182.04,97.28,43.59,76.66,316.925
1586266749.396812,167.25,267.32,2016.38,1208.76,199.02,170.145,285030,140.63,125.74,174.66,119.58,93.5,51.09,273.24,59.3,57.285,255.38,30.875,80.78,199.535,86.13,48.31,34.7,22.56,133.705,102.65,42.375,42.03,0.0,40.87,378.4,51.74,37.125,271.27,321.12,83.95,84.07,38.28,141.645,307.58,57.915,113.72,86.935,212.78,148.4,180.5,97.25,43.59,76.82,316.225
