lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,TSLA,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO,MSFT_volume,AAPL_volume,AMZN_volume,GOOGL_volume,BABA_volume,FB_volume,TSLA_volume,JNJ_volume,WMT_volume,V_volume,PG_volume,JPM_volume,TSM_volume,MA_volume,INTC_volume,VZ_volume,UNH_volume,T_volume,MRK_volume,HD_volume,NVS_volume,KO_volume,PFE_volume,BAC_volume,PEP_volume,DIS_volume,XOM_volume,CSCO_volume,TM_volume,CHL_volume,NFLX_volume,ORCL_volume,CMCSA_volume,NVDA_volume,ADBE_volume,CVX_volume,ABT_volume,LLY_volume,COST_volume,BMY_volume,SAP_volume,NKE_volume,AMGN_volume,CRM_volume,MCD_volume,MDT_volume,AZN_volume,PM_volume,TMO_volume
1587735002.121682,172.205,277.08,2421.6,1256.675,206.255,183.43,711.495,155.56,129.4,168.075,0.0,0.0,52.58,258.48,56.38,0.0,0.0,29.495,81.62,204.81,0.0,45.54,36.87,22.11,131.535,101.56,44.37,41.87,0.0,0.0,425.98,0.0,36.31,283.75,0.0,0.0,94.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.35,97.44,0.0,0.0,322.81,998,242,5,15,1380,630,1,120,100,230,0,0,107,101,2279,0,0,100,100,60,0,203,200,925,1633,124,300,2,0,0,3984,0,403,100,0,0,200,0,0,0,0,0,0,0,100,100,0,0,85
1587735062.412775,172.28,278.23,2413.81,1261.925,206.14,183.855,714.835,156.16,129.02,168.14,119.62,90.55,52.58,259.59,56.83,57.48,288.03,29.57,81.59,204.815,88.22,45.45,36.89,22.095,131.68,101.785,44.34,41.82,0.0,0.0,425.75,52.37,36.32,284.71,338.0,88.325,94.19,162.245,306.24,61.52,116.31,88.625,0.0,153.42,183.62,96.86,50.77,72.4,323.77,5818,3365,998,863,5422,5629,619,2322,906,1326,1800,1800,2007,3801,41634,4346,372,2708,416,560,500,1106,1616,4130,2057,8153,1677,3189,0,0,5561,401,2129,5527,301,1538,1502,1000,600,803,100,600,0,1167,1300,1358,100,1700,289
1587735122.617643,172.21,278.225,2413.57,1257.42,205.98,183.125,712.96,155.97,128.91,167.71,119.625,90.44,52.65,258.57,56.74,57.265,288.03,29.5,81.57,204.13,88.24,45.425,36.9,22.085,131.26,101.35,44.45,41.87,0.0,0.0,424.77,52.395,36.24,283.11,338.295,88.31,94.05,162.115,307.5,61.5,116.31,88.355,234.35,153.27,183.625,96.77,50.81,72.4,323.77,8168,7029,1623,1030,12222,11223,869,5017,1206,2126,5602,2000,5107,5702,65391,5246,372,9371,616,863,1100,1506,3844,6131,2757,9533,3077,3722,0,0,7211,1001,3230,8328,901,2038,2302,2601,736,903,100,639,100,1867,2100,2658,200,1700,289
1587735182.792954,172.21,278.285,2414.94,1255.03,206.12,183.005,712.96,155.695,128.85,167.48,119.69,90.335,52.63,258.34,56.82,57.485,287.73,29.54,81.565,204.13,88.21,45.46,36.84,22.07,131.335,101.09,44.49,41.93,0.0,0.0,422.64,52.405,36.27,283.775,338.195,88.225,93.99,162.335,307.15,61.5,116.16,88.355,234.155,153.46,183.3,96.86,50.75,72.55,321.04,11612,12306,1723,1705,12823,13547,869,7019,1566,2988,9412,2225,7215,5902,79562,6181,872,9776,1565,863,1307,2211,4484,7361,3157,10233,4177,4122,0,0,7366,2701,4592,10328,1210,2738,4802,3711,1036,903,300,639,200,4030,3403,2858,374,1900,489
1587735242.96626,172.37,278.065,2411.04,1252.68,205.65,182.43,709.62,155.7,128.85,167.35,119.695,90.405,52.66,257.78,57.16,57.555,287.49,29.535,81.63,204.32,88.2,45.475,36.84,22.095,131.43,100.92,44.51,42.0,0.0,0.0,422.14,52.42,36.295,284.08,337.61,88.225,94.07,162.25,307.15,61.5,116.16,88.31,234.265,153.52,183.465,96.985,50.75,72.68,321.04,14356,16227,2205,2801,15779,16571,1069,8627,1566,3920,12612,3151,7715,6202,98455,6981,1072,14476,3265,1714,1707,3416,4692,9393,3557,11493,4777,4322,0,0,7766,3184,5729,12428,2110,4520,6918,4311,1036,1003,300,739,675,4430,4303,3373,374,2205,489
1587735303.184739,171.78,277.97,2406.85,1245.0,205.67,181.75,710.49,155.48,128.86,166.78,119.71,90.895,52.65,257.33,57.12,57.59,286.68,29.61,81.64,204.63,88.15,45.595,36.825,22.175,131.65,101.08,44.73,41.92,0.0,0.0,421.845,52.35,36.29,282.69,335.82,88.4,93.85,162.32,307.02,61.44,116.16,88.29,234.19,152.66,183.44,97.135,50.75,72.89,321.6,19456,17757,2650,3464,17401,20689,1169,9827,1572,4420,16870,4351,9215,6489,112187,8081,1472,15091,4565,1914,2007,4826,4892,13843,3957,12356,6056,5622,0,0,8662,3484,20929,13008,2410,4721,7929,5111,1136,1208,300,1344,1050,5366,4903,4273,374,2905,589
1587735363.390198,171.68,277.96,2407.5,1245.0,205.805,181.92,709.81,155.27,129.12,166.57,119.71,90.675,52.64,256.93,57.03,57.74,286.93,29.65,81.54,205.17,88.15,45.565,36.82,22.15,131.585,101.15,44.77,41.9,0.0,0.0,422.69,52.28,36.36,282.27,335.82,88.47,94.01,162.31,307.02,61.44,116.16,88.235,234.13,153.31,183.01,97.245,50.78,72.74,320.32,23685,21037,3220,5126,18101,25358,1235,11880,1775,4777,17870,6451,9415,6857,128643,11581,1482,16812,5765,2214,2107,5633,5492,17581,3959,13133,12401,6374,0,0,9317,3487,22467,13174,2410,5521,9982,6025,1136,1894,300,2144,1150,5566,5088,5523,1574,3305,1189
1587735423.608162,171.52,277.825,2402.09,1244.66,206.18,182.21,707.27,155.25,129.15,166.45,119.74,90.41,52.63,256.93,56.75,57.575,286.93,29.655,81.4,204.97,88.13,45.53,36.82,22.165,131.265,100.95,44.76,41.82,0.0,0.0,422.675,52.135,36.325,281.72,336.27,88.55,93.93,162.155,307.02,61.56,116.16,88.145,232.815,152.815,183.01,97.315,50.78,72.74,320.39,27832,23763,3520,5151,20451,31633,1341,12975,1914,6077,18528,8773,9615,7442,136872,12481,1482,17326,6468,2615,2240,6333,7702,24228,4160,14683,14551,7888,0,0,10217,3587,26980,13579,2510,6155,10460,7027,1136,2194,300,2444,1352,6070,5088,7523,1574,3305,1590
1587735483.829338,171.85,278.425,2405.16,1248.32,206.015,182.22,708.33,155.07,129.15,166.55,119.745,90.415,52.615,256.54,57.15,57.55,285.2,29.66,81.455,205.095,88.14,45.535,36.83,22.17,131.36,100.785,44.76,41.82,122.4,0.0,422.875,52.155,36.33,282.64,336.69,88.21,93.95,162.165,306.91,61.54,116.16,88.145,232.585,152.81,182.44,97.4,50.78,72.595,320.69,44450,28463,4292,5452,23754,60758,1441,13210,1914,9057,19128,10086,11920,8352,143505,14681,1582,18215,7568,3515,2340,9838,19051,27800,4560,15585,16153,7888,100,0,15141,4287,29259,13894,2710,7045,10660,8627,1190,2395,300,2444,1552,6074,5210,8823,1574,3405,1594
1587735544.021957,171.77,278.715,2405.0,1250.02,205.875,182.195,710.02,155.15,129.17,166.745,119.75,90.395,52.68,257.11,57.27,57.4,284.92,29.715,81.36,205.3,88.16,45.535,36.855,22.195,131.46,100.89,44.86,41.925,122.4,0.0,422.89,52.17,36.385,283.075,336.69,88.27,94.03,162.11,307.17,61.5,116.16,88.33,232.585,153.4,183.18,97.485,50.79,72.61,321.185,50292,29263,4522,5482,26765,65220,1875,15319,2038,9858,19528,15616,12968,8760,151713,18381,1987,18244,10868,4215,2667,10938,23406,34850,4860,15995,16565,8290,100,0,16151,5587,29860,14506,2710,7446,11770,9127,1290,3195,300,2644,1552,6586,5410,10723,1674,3505,1603
