lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,TSLA,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO,MSFT_volume,AAPL_volume,AMZN_volume,GOOGL_volume,BABA_volume,FB_volume,TSLA_volume,JNJ_volume,WMT_volume,V_volume,PG_volume,JPM_volume,TSM_volume,MA_volume,INTC_volume,VZ_volume,UNH_volume,T_volume,MRK_volume,HD_volume,NVS_volume,KO_volume,PFE_volume,BAC_volume,PEP_volume,DIS_volume,XOM_volume,CSCO_volume,TM_volume,CHL_volume,NFLX_volume,ORCL_volume,CMCSA_volume,NVDA_volume,ADBE_volume,CVX_volume,ABT_volume,LLY_volume,COST_volume,BMY_volume,SAP_volume,NKE_volume,AMGN_volume,CRM_volume,MCD_volume,MDT_volume,AZN_volume,PM_volume,TMO_volume
1587130201.960514,179.65,284.78,2371.75,0.0,214.74,179.585,773.27,151.76,0.0,169.75,122.505,91.915,54.035,0.0,62.045,0.0,0.0,30.79,84.03,207.49,0.0,48.065,36.48,22.65,0.0,106.02,40.0,42.275,0.0,0.0,430.49,54.565,38.61,298.0,0.0,81.58,0.0,0.0,0.0,0.0,122.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.65,366,2557,175,0,400,235,26,510,0,1115,850,540,300,0,1730,0,0,70,100,300,0,2000,200,100,0,100,200,217,0,0,503,608,5,102,0,300,0,0,0,0,100,0,0,0,0,0,0,0,10
1587130262.211245,179.31,285.615,2374.85,1283.0,214.13,179.3,765.255,151.8,131.275,170.38,122.22,91.36,54.1,256.945,61.585,58.1,301.04,30.76,83.68,207.4,88.77,48.055,36.43,22.47,137.33,105.03,40.15,42.59,0.0,0.0,428.07,54.44,38.56,297.13,349.61,81.9,97.34,155.52,320.41,60.33,122.99,88.94,236.295,159.53,181.935,98.74,50.13,76.87,333.855,28773,14252,2375,1939,7117,4869,2930,4448,6334,6351,15025,2197,12168,6634,7960,511,500,1515,1191,600,1158,6535,7050,6150,100,4767,10310,14490,0,0,5254,6235,1377,1246,300,1230,4350,300,2551,2800,100,512,662,14780,3648,900,1035,300,2439
1587130322.418145,179.12,285.46,2375.28,1278.91,213.02,178.93,761.77,151.8,130.96,169.855,121.535,91.0,53.715,257.34,61.225,58.165,301.155,30.795,83.56,206.745,88.69,47.96,36.32,22.435,137.33,105.3,39.97,42.395,0.0,39.13,431.59,54.36,38.5,294.89,348.49,81.885,97.13,155.12,319.69,60.125,122.69,88.99,234.16,159.02,182.89,98.77,50.1,76.87,332.895,29973,21024,3090,2053,9677,10969,4838,5121,8110,12522,19341,4260,18761,10016,9350,1681,1330,6351,1491,900,1462,7697,7150,13928,1600,8067,20529,16356,0,89,5654,9304,3274,2575,625,7312,8798,400,3173,4000,200,1137,1051,15080,4329,3261,1535,300,5796
1587130382.621282,178.57,285.45,2366.78,1277.2,212.49,178.51,763.995,151.3,130.57,170.325,120.6,91.12,53.64,256.61,61.175,58.3,296.73,30.835,83.39,206.1,88.56,48.01,36.21,22.45,137.3,105.61,40.16,42.39,0.0,39.14,427.36,54.3,38.54,294.03,346.84,81.85,96.35,154.63,319.26,60.16,122.515,89.315,234.0,158.67,183.005,98.87,50.1,76.3,331.91,35272,26029,5364,2357,12793,14669,5628,5624,8627,23370,20641,6563,21362,12117,11250,4398,3808,7830,2481,1101,1562,9823,8452,21465,1725,12156,21729,18705,0,289,6154,11146,4874,5299,726,10012,15398,700,3685,4500,400,3697,1126,27580,5854,4567,1535,1003,6396
1587130442.774546,178.4,286.37,2364.2,1275.51,212.15,178.16,772.0,151.105,130.09,170.175,121.1,91.34,53.5,256.255,61.18,58.16,296.525,30.795,83.36,206.49,88.52,48.14,36.225,22.45,137.1,105.62,40.345,42.26,0.0,39.14,424.5,54.315,38.51,294.03,346.75,82.095,95.92,154.71,318.185,60.03,122.495,89.42,234.375,158.52,183.13,99.14,50.06,76.3,331.44,43353,28846,6790,2558,14315,19826,6148,6324,9727,25989,24813,8219,27417,12846,17050,8898,4895,8410,6317,1301,2012,11233,8752,27783,2125,13056,22218,22240,0,289,7485,12355,17406,6504,1290,13812,21198,1500,4292,5700,500,5697,1538,40180,6654,6546,1827,1003,6976
1587130502.981464,178.56,286.04,2362.78,1274.6,212.16,177.85,767.85,150.68,130.03,170.13,121.395,91.51,53.405,257.2,61.24,58.15,295.45,30.84,83.3,207.73,88.43,48.165,36.19,22.58,137.1,105.9,40.58,42.3,0.0,39.14,426.44,54.325,38.435,295.49,345.31,82.39,95.485,154.165,317.89,60.05,122.52,89.5,234.19,158.675,183.66,98.81,50.06,76.535,331.22,44542,31238,6904,2916,16577,21101,7318,6626,10765,27189,26784,9362,34417,12967,23351,9873,5295,9032,7030,11501,2562,12539,9902,31508,2125,14346,23321,23440,0,289,9733,12455,22368,8057,1490,14737,22796,2110,5343,6804,502,6697,1543,51380,6705,8146,2727,1351,7330
1587130563.202366,178.26,286.07,2354.94,1273.02,211.19,178.05,765.12,150.53,130.11,170.4,121.395,91.92,53.195,257.84,61.055,58.145,295.96,30.87,83.26,208.07,88.28,48.11,36.15,22.65,137.1,105.99,40.49,42.295,0.0,39.14,425.03,54.46,38.515,294.54,344.72,82.325,95.07,153.25,317.92,59.915,122.52,89.62,233.18,158.18,183.62,98.89,50.05,76.535,329.895,51100,44049,7838,3119,21290,21631,7782,7177,11266,28737,26784,12058,38627,14687,27523,12035,6195,9248,9149,13226,2962,13742,12577,32626,2125,15686,29367,25040,0,289,13333,14600,23142,8262,1790,14957,24391,2271,5470,8315,502,6921,2293,51600,7117,10946,2986,1351,7331
1587130623.413734,178.155,286.1,2356.39,1273.49,210.99,177.84,764.63,150.05,130.76,170.855,121.22,92.06,53.225,259.3,60.995,58.15,295.09,30.92,83.09,208.23,88.26,48.005,36.185,22.67,137.1,106.03,40.46,42.335,0.0,39.07,423.295,54.505,38.57,294.6,344.64,82.325,94.275,153.51,318.075,60.09,122.52,89.52,232.51,157.965,183.74,99.05,50.05,76.535,329.895,52616,58720,8813,3180,23504,25281,8776,7977,11666,29523,30794,13351,46655,15852,28828,12647,7552,9748,10565,17377,3512,14542,13879,34355,2125,16261,31167,28008,0,389,13968,15771,23591,8803,1915,14957,27591,3371,5478,9215,502,7321,2873,51705,7417,11866,2986,1351,7331
1587130683.618213,178.0,284.995,2353.0,1271.95,210.25,177.83,766.0,149.99,130.64,170.65,121.45,92.48,53.17,259.22,60.92,58.265,293.42,30.895,83.1,208.71,88.26,48.055,36.18,22.75,137.1,106.26,40.54,42.215,0.0,39.07,421.82,54.45,38.545,294.34,343.535,82.575,94.83,153.45,317.765,60.04,122.285,89.58,231.36,157.965,183.68,99.13,49.94,76.535,328.64,53689,61684,9536,3733,24224,25741,9185,8877,11766,31022,33094,13895,55055,16158,32806,12847,8130,10148,14616,19077,3512,15176,13979,38885,2125,16361,36603,29909,0,389,15888,17879,23832,9847,1920,16457,32887,3771,5600,10015,602,7633,3048,51705,12817,15166,3186,1351,7332
1587130743.812493,177.91,285.29,2347.62,1270.0,210.98,177.62,763.055,150.23,130.86,170.4,122.25,92.36,53.19,258.37,61.07,58.265,292.31,30.885,83.315,208.61,88.16,48.055,36.32,22.74,137.1,105.94,40.44,42.24,0.0,39.07,424.69,54.32,38.455,294.7,343.535,82.54,94.82,154.065,317.645,60.15,122.285,89.8,231.26,157.905,183.915,99.08,49.985,76.535,328.8,55066,71574,9782,4889,24524,25941,9585,9135,12071,31747,35886,19002,57947,17887,33706,12847,8330,10669,17101,20977,4062,15480,15079,44916,2125,19888,38969,31625,0,389,17288,18379,25022,11591,1920,18557,34210,4171,5606,12015,602,8636,3124,53205,15467,16566,3286,1351,7597
