symbol,lastSaleTime,lastSalePrice,volume
FB,1582727402218,197.145,1061
FB,1582727462230,198.755,2372
FB,1582727518498,198.44,4576
FB,1582727580392,199.0,7879
FB,1582727643310,199.33,12099
FB,1582727687195,198.49,13622
FB,1582727761409,199.19,14979
FB,1582727822277,199.28,15500
FB,1582727876682,199.78,41299
FB,1582727941358,200.09,44950
FB,1582727999192,199.77,46868
FB,1582728049138,199.86,47568
FB,1582728124323,200.31,51668
FB,1582728168428,200.65,52396
FB,1582728239870,201.155,72851
FB,1582728304261,200.79,78333
FB,1582728359374,200.09,82604
FB,1582728424588,200.18,106042
FB,1582728467316,199.83,107742
FB,1582728540639,200.26,112789
FB,1582728574290,199.75,113273
FB,1582728663175,200.48,116273
FB,1582728700762,200.11,117323
FB,1582728786888,199.98,117613
FB,1582728839413,200.16,118114
FB,1582728896181,200.23,118718
FB,1582728951579,200.01,119788
FB,1582729024302,200.37,120324
FB,1582729061054,200.06,122571
FB,1582729137246,199.65,123412
FB,1582729207506,199.76,124654
FB,1582729268493,199.97,126354
FB,1582729327691,199.49,128354
FB,1582729389191,199.59,129254
FB,1582729440166,199.45,132115
FB,1582729501348,199.465,133415
FB,1582729566644,199.4,133733
FB,1582729626162,199.27,134957
FB,1582729687005,199.14,136121
FB,1582729739418,199.06,136821
FB,1582729802647,199.1,137758
FB,1582729861167,198.85,139138
FB,1582729928151,198.8,139938
FB,1582729991435,199.05,141439
FB,1582730041181,199.34,142367
FB,1582730112153,199.915,143960
FB,1582730166740,200.185,144860
FB,1582730232817,200.17,146285
FB,1582730269124,200.17,146385
FB,1582730354342,200.18,147055
FB,1582730380954,200.175,147179
FB,1582730462835,200.185,148608
FB,1582730520416,200.145,149925
FB,1582730582985,199.95,149935
FB,1582730645598,199.93,150766
FB,1582730715707,200.0,151312
FB,1582730773909,199.94,152832
FB,1582730828539,199.97,153035
FB,1582730884946,200.19,153245
FB,1582730957466,200.05,154067
FB,1582731010609,199.845,154447
FB,1582731071252,200.08,155555
FB,1582731135583,199.985,157955
FB,1582731191752,200.345,161568
FB,1582731254430,200.37,164904
FB,1582731315601,200.34,183754
FB,1582731375367,200.235,189420
FB,1582731435683,200.1,193009
FB,1582731499818,200.04,198005
FB,1582731556051,200.11,205814
FB,1582731615805,199.87,208231
FB,1582731677033,200.13,213432
FB,1582731735114,200.475,218192
FB,1582731795585,200.4,218727
FB,1582731849518,200.84,219712
FB,1582731919251,200.85,220304
FB,1582731971293,200.98,222505
FB,1582732039225,200.96,224567
FB,1582732092988,200.74,227157
FB,1582732162187,200.72,229417
FB,1582732216654,200.69,229430
